"sep=	"
Document type	Open Access	Number	Authors countries	Instrument	Domain	Authors	ILL Authors	Titre	Journal title	Volume	Pages	Year	Proposal number	DOI	WOS Number	DOI added
Journal article		ILL15ME7007	USA			Meierbachtol K., Tovesson F., Shields D., Arnold C., Blakeley R., Bredeweg T., Devlin M., Hecht A.A., Heffern L.E., Jorgenson J., Laptev A., Mader D., O'Donnell J.M., Sierk A., White M.		The SPIDER fission fragment spectrometer for fission product yield measurements	Nuclear Instruments and Methods in Physics Research A	788	59-66	2015		10.1016/j.nima.2015.02.032		
Journal article		ILL15NG7022	USA/Spain	LADI-III		Ng J.D., Baird J.K., Coates L., García-Ruiz J.M., Hodge T.A., Huang S.		Large-volume protein crystal growth for neutron macromolecular crystallography	Acta Crystallographica F	71	358-370	2015	8-01-398, 8-01-353	10.1107/S2053230X15005348	WOS:000352508000001	
Journal article		ILL22OK7075	Japan/USA/Australia/Korea			Okuchi T., Purevjav N., Tomioka N., Lin J.F., Kuribayashi T., Schoneveld L., Hwang H., Sakamoto N., Kawasaki N., Yurimoto H.		Synthesis of large and homogeneous single crystals of water-bearing minerals by slow cooling at deep-mantle pressures	American Mineralogist	100	1483-1492	2015		10.2138/am-2015-5237		
Journal article		ILL15PE7046	France (not ILL)			Pequignot M.		The Nucifer and Stereo reactor antineutrino experiments	Nuclear and Particle Physics Proceedings	265-266	126-128	2015		10.1016/j.nuclphysbps.2015.06.032		
Article from Conference in a Journal	OA	ILL15PE7075	Germany			Petry W.		Neutrons for industry	EPJ Web of Conferences	104	01001-1-01001-26	2015		10.1051/epjconf/201510401001		
Journal article	OA	ILL15PF7035	Sweden/Switzerland/USA/Austria			Pfeiffer D., Resnati F., Birch J., Hall-Wilton R., Höglund C., Hultman L., Iakovidis G., Oliveri E., Oksanen E., Ropelewski L., Thuiner P.		The ?TPC method: Improving the position resolution of neutron detectors based on MPGDs	Journal of Instrumentation	10	P04004-1-P04004-10	2015		10.1088/1748-0221/10/04/P04004	WOS:000357961700049	
Journal article		ILL15PO7052	USA			Pomés A., Chruszcz M., Gustchina A., Minor W., Mueller G.A., Pedersen L.C., Wlodawer A., Chapman M.D.		100 Years later: Celebrating the contributions of X-ray crystallography to allergy and clinical immunology	Journal of Allergy and Clinical Immunology	136	29-37	2015		10.1016/j.jaci.2015.05.016		
Journal article		ILL15RA7045	Germany			Randau C., Brokmeier H.G., Gan W.M., Hofmann M., Voeller M., Tekouo W., Al-Hamdany N., Seidl G., Schreyer A.		Improved sample manipulation at the STRESS-SPEC neutron diffractometer using an industrial 6-axis robot for texture and strain analyses	Nuclear Instruments and Methods in Physics Research A	794	67-75	2015		10.1016/j.nima.2015.05.014		
Journal article		ILL15RO7080	Spain/France (not ILL)/Sweden/Germany	LOHENGRIN		Rodriguez-Sanchez J.L., Benlliure J., Taieb J., Alvarez-Pol H., Audouin L., Ayyad Y., Bélier G., Boutoux G., Casarejos E., Chatillon A., Cortina-Gil D., Gorbinet T., Heinz A., Kelic-Heil A., Laurent B., Martin J.F., Paradela C., Pellereau E., Pietras B., Ramos D., Rodriguez-Tajes C., Rossi D.M., Simon H., Vargas J., Voss B.		Complete characterization of the fission fragments produced in reactions induced by 208Pb projectiles on proton at 500A MeV	Physical Review C	91	064616-1-064616-17	2015		10.1103/PhysRevC.91.064616		
Journal article	OA	ILL15RU7060	USA			Rush J.J.		US neutron facility development in the last half-century: A cautionary tale	Physics in Perspective	17	135-155	2015		10.1007/s00016-015-0158-8	WOS:000358167300004	
Journal article		ILL15SA7084	UK		Liquids and Glasses	Salmon P.S., Zeidler A.		Networks under pressure: The development of in situ high-pressure neutron diffraction for glassy and liquid materials	Journal of Physics Condensed Matter	27	133201-1-133201-32	2015		10.1088/0953-8984/27/13/133201		
Book chapter		ILL15SA7032				Salmon P.S., Zeidler A.		The atomic-scale structure of network glass-forming materials	Springer Series in Materials Science	215	1-31	2015		10.1007/978-3-319-15675-0_1		
Journal article		ILL15SE7008	USA			Seng C.Y.		Reexamination of the standard model nucleon electric dipole moment	Physical Review C	91	025502-1-02502-10	2015		10.1103/PhysRevC.91.025502	WOS:000351203600003	
Journal article		ILL15SO7082	Germany	IN12		Sobolev O., Hoffmann R., Gibhardt H., Junke N., Knorr A., Meyer V., Eckold G.		The multianalyser system of the three axes neutron spectrometer PUMA: Pilot experiments with the innovative multiplex technique	Nuclear Instruments and Methods in Physics Research A	772	63-71	2015		10.1016/j.nima.2014.11.007	WOS:000346642200009	
Conference as a Report		ILL16SO7046	Russia			Sokolov V.E., Vorobyev A.S., Petrov G.A., Val'ski G.V., Gagarski A.M., Shcherbakov O.A., Guseva I.S.		Main directions of scientific investigations in the field of nuclear fission and experimental setups at the PIK reactor								
Journal article		ILL15SO7071	Poland			Sosnowska I.M.		The birth of time-of-flight (TOF) neutron powder diffraction at pulsed neutron source (invited)	Crystal Research and Technology	50	705-715	2015		10.1002/crat.201400439	WOS:000360814000005	
Journal article		ILL16ST7008	France (not ILL)			Stachura S., Kneller G.R.		Communication: Probing anomalous diffusion in frequency space	Journal of Chemical Physics	143	191103-1-191103-4	2015		10.1063/1.4936129	WOS:000366524700003	
Journal article		ILL15ST7074	USA			Stewart C., Erickson A.		Antineutrino analysis for continuous monitoring of nuclear reactors: Sensitivity study	Journal of Applied Physics	118	164902-1-164902-8	2015		10.1063/1.4934638	WOS:000364410300032	
Journal article		ILL15KH7059	USA/UK			Syed A.K., Fitzpatrick M.E., Moffatt J.E., Doucet J., Durazo-Cardenas I.		Effect of impact damage on fatigue performance of structures reinforced with GLARE bonded crack retarders	International Journal of Fatigue	80	231-237	2015		10.1016/j.ijfatigue.2015.06.006	WOS:000360596500024	
Journal article		ILL16TO7055	Russia		Magnetic Structures	Toperverg B.P.		Polarized neutron reflectometry of magnetic nanostructures	Physics of Metals and Metallography	116	1337-1375	2015		10.1134/S0031918X15130025	WOS:000369919000002	
Journal article	OA	ILL15VA7035	The Netherlands			van Ruitenbeek J.		The Netherlands? Physical Society, NNV, a vibrant community of 4000 physicists	Europhysics News	46	22-25	2015		10.1051/epn/2015304		
Journal article		ILL15VI7024	Brazil/Argentina			Vieira C.E.P., Gasperini A.A.M., Freitas P.P.S., Oliveira R.G., Cavalcanti L.P.		Characterization of a Pt mirror to be used to deflect synchrotron radiation beam onto Langmuir monolayers	Journal of Synchrotron Radiation	22	859-861	2015		10.1107/S1600577515001496	WOS:000353920300054	
Journal article		ILL15VU7063	USA			Vural D., Hong L., Smith J.C., Glyde H.R.		Motional displacements in proteins: The origin of wave-vector-dependent values	Physical Review E	91	052705-1052705-11	2015		10.1103/PhysRevE.91.052705	WOS:000354559300007	
Journal article		ILL15WA7040	Austria			Wagner U., Kratky C.		Structure elucidation of natural compounds by X-ray crystallography	Progress in the Chemistry of Organic Natural Products	100	1-75	2015		10.1007/978-3-319-05275-5_1		
Journal article		ILL15WE7058	Germany/Switzerland			Weichselbaumer S., Brandl G., Georgii R., Stahn J., Panzner T., Böni P.		Tailoring phase-space in neutron beam extraction	Nuclear Instruments and Methods in Physics Research A	793	75-80	2015		10.1016/j.nima.2015.05.003	WOS:000355774500012	
Journal article	OA	ILL15WE7072	Germany/USA/Switzerland/Czech Republic/Australia			Weigand M., Bredeweg T.A., Couture A., Göbel K., Heftrich T., Jandel M., Käppeler F., Lederer C., Kivel N., Korschinek G., Krti?ka M., O'Donnell J.M., Ostermoller J., Plag R., Reifarth R., Schumann D., Ullmann J.L., Wallner A.		Ni63(n,?) cross sections measured with DANCE	Physical Review C	92	045810-1-045810-10	2015		10.1103/PhysRevC.92.045810	WOS:000363792100005	
Journal article	OA	ILL15WI7078				Winkless L.		Neutrons lead the search for oxygen ion conductors	Materials Today	18	473	2015		10.1016/j.mattod.2015.09.003		
Journal article		ILL15WO7048	Australia/UK			Wood K., Jeffries C.M., Knott R.B., Sokolova A., Jacques D.A., Duff A.P.		Exploring the structure of biological macromolecules in solution using Quokka, the small angle neutron scattering instrument, at ANSTO	Nuclear Instruments and Methods in Physics Research A	798	44-51	2015		10.1016/j.nima.2015.06.034	WOS:000360933600006	
Journal article		ILL15ZA7065	France (not ILL)/Spain/Hungary/Finland/USA/UK			Zakari-Issoufou A.A., Fallot M., Porta A., Algora A., Taín J.L., Valencia E., Rice S., Bui V.M., Cormon S., Estienne M., Agramunt J., Äystö J., Bowry M., Briz J.A., Caballero-Folch R., Cano-Ott D., Cucoanes A., Elomaa V.V., Eronen T., Estevez E., Farrelly G.F., Garcia A. R., Gelletly W., Gomez-Hornillos M.B., Gorlychev V., Hakala J., Jokinen A., Jordan M.D., Kankainen A., Karvonen P., Kolhinen V.S., Kondev F.G., Martínez T., Mendoza E., Molina F., Moore I., Perez-Cerdan A.B., Podolyák Z., Penttilä H., Regan P.H., Reponen M., Rissanen J., Rubio B., Shiba T., Sonzogni A.A., Weber C.		Total absorption spectroscopy study of Rb92 decay: A major contributor to reactor antineutrino spectrum shape	Physical Review Letters	115	102503-1-102503-6	2015		10.1103/PhysRevLett.115.102503	WOS:000360603500002	
Book chapter		ILL15ZA7041	USA			Zaliznyak I.A., Tranquada J.M.		Neutron scattering and its application to strongly correlated systems	Springer Series in Solid-State Sciences	180	205-235	2015		10.1007/978-3-662-44133-6_7		
Article from Conference in a Journal	OA	ILL15BA7011	Germany			Babcock E., Salhi Z., Pistel P., Simeoni G., Ioffe A.		Magic-PASTIS for XYZ polarization analysis using SEOP polarized 3He gas	Journal of Physics : Conference Series	528	012018-1-012018-9	2014		10.1088/1742-6596/528/1/012018	WOS:000340245000018	
Journal article		ILL14BA7013	Russia			Balygin K.A., Karetnikov M.D., Klimov A.I., Kopeikin V.I., Kurkin V.A., Meleshko E.A., Panin Y.N., Sabel'nikov A.A.		An experimental setup for studying spectra of ? particles emitted by mixtures of 235U and 239Pu thermal neutron fission products	Instruments and Experimental Techniques	57	22-27	2014		10.1134/S0020441214010126		
Journal article		ILL14BE7045	Spain			Bermejo F.J., Sordo F.		Neutron sources						10.1016/B978-0-12-398374-9.00002-4		
Article from Conference in a Journal	OA	ILL14BI7024	France (not ILL)			Biscarat C., Bzeznik B.		Synergy between the CIMENT tier-2 HPC centre and the HEP community at LPSC in Grenoble (France)	Journal of Physics : Conference Series	513	032008-1-032008-5	2014		10.1088/1742-6596/513/3/032008	WOS:000342287200089	
Journal article		ILL15BU7003	Germany/Spain	IN10/IN13/IN6		Buchenau U., Zorn R., Ramos M.A.		Probing cooperative liquid dynamics with the mean square displacement	Physical Review E	90	042312-1-042312-7	2014		10.1103/PhysRevE.90.042312		
Article from Conference in a Journal	OA	ILL15CH7012	USA	IN20/IN22		Chen W.C., Gentile T.R., Erwin R., Watson S., Ye Q., Krycka K.L., Maranville B.B.		3He spin filter based polarized neutron capability at the NIST Center for Neutron Research	Journal of Physics : Conference Series	528	012014-1-012014-16	2014		10.1088/1742-6596/528/1/012014	WOS:000340245000014	
Journal article		ILL14CH7037	USA			Chupp T.		Neutron-decay correlation measurements with polarized and pulsed beams	Physics Procedia	51	50-53	2014		10.1016/j.phpro.2013.12.012		
Journal article		ILL14CO7048	USA			Cook J.C.		Concepts and engineering aspects of a neutron resonance spin-echo spectrometer for the National Institute of Standards and Technology center for neutron research	Journal of Research of the National Institute of Standards and Technology	119	55-211	2014		10.6028/jres.119.005		
Journal article		ILL14CO7052	Australia/Korea		Spectroscopy in Solid State Physics and Chemistry	Cousland G.P., Mole R.A., Elcombe M.M., Cui X.Y., Smith A.E., Stampfl C.M., Stampfl A.P.J.		Investigation of the vibrational properties of cubic yttria-stabilized zirconia: A combined experimental and theoretical study	Journal of Physics and Chemistry of Solids	75	351-357	2014		10.1016/j.jpcs.2013.10.012		
Journal article		ILL14DA7028	Russia/Germany			Danilyan G.V., Klenke J., Kopach Y.N., Krakhotin V.A., Novitsky V.V., Pavlov V.S., Shatalov P.B.		Effects of rotation of fissioning nuclei in the angular distributions of prompt neutrons and gamma rays originating from the polarized-neutron-induced fission of 233U and 235U nuclei	Physics of Atomic Nuclei	77	677-681	2014		10.1134/S1063778814050020		
Journal article		ILL14DU7042	Germany		Nuclear and Particle Physics	Dubbers D.		The present status of particle physics with slow neutrons	Physics Procedia	51	13-18	2014		10.1016/j.phpro.2013.12.005		
Journal article	OA	ILL15DU7014	UK	BRISP/D22		Duxbury D., Heenan R., McPhail D., Raspino D., Rhodes N., Rogers S., Schooneveld E., Spill E., Terry A.		Performance characteristics of the new detector array for the SANS2d instrument on the ISIS spallation neutron source	Journal of Instrumentation	9	C12051-1-C12051-13	2014		10.1088/1748-0221/9/12/C12051	WOS:000351342900035	
Journal article		ILL14FE7027	Russia			Fedorov V.V., Voronin V.V.		Neutron optics of noncentrosymmetric crystals: New possibility of searches for the neutron electric dipole moment and CP-violating forces	Physics of Atomic Nuclei	77	695-703	2014		10.1134/S1063778814050044		
Journal article		ILL14FE7012	Italy/Brazil/USA/Ukraine/Spain/Germany/China/Poland/Portugal			Ferrario M., Alesini D., Alessandroni M., Anania M.P., Andreas S., Angelone M., Arcovito A., Arnesano F., Artioli M., Avaldi L., Babusci D., Bacci A., Balerna A., Bartalucci S., Bedogni R., Bellaveglia M., Bencivenga F., Benfatto M., Biedron S., Bocci V., Bolognesi M., Bolognesi P., Boni R., Bonifacio R., Boscherini F., Boscolo M., Bossi F., Broggi F., Buonomo B., Calo V., Catone D., Capogni M., Capone M., Cassou K., Castellano M., Castoldi A., Catani L., Cavoto G., Cherubini N., Chirico G., Cestelli-Guidi M., Chiadroni E., Chiarella V., Cianchi A., Cianci M., Cimino R., Ciocci F., Clozza A., Collini M., Colò G., Compagno A., Contini G., Coreno M., Cucini R., Curceanu C., Curciarello F., Dabagov S., Dainese E., Davoli I., Dattoli G., De Caro L., De Felice P., De Leo V., Dell Agnello S., Della Longa S., Delle Monache G., De Spirito M., Di Cicco A., Di Donato C., Di Gioacchino D., Di Giovenale D., Di Palma E., Di Pirro G., Dodaro A., Doria A., Dosselli U., Drago A., Dupraz K., Escribano R., Esposito A., Faccini R., Ferrari A., Filabozzi A., Filippetto D., Fiori F., Frasciello O., Fulgentini L., Gallerano G.P., Gallo A., Gambaccini M., Gatti C., Gatti G., Gauzzi P., Ghigo A., Ghiringhelli G., Giannessi L., Giardina G., Giannini C., Giorgianni F., Giovenale E., Giulietti D., Gizzi L., Guaraldo C., Guazzoni C., Gunnella R., Hatada K., Iannone M., Ivashyn S., Jegerlehner F., Keeffe P.O., Kluge W., Kupsc A., Labate L., Levi Sandri P., Lombardi V., Londrillo P., Loreti S., Lorusso A., Losacco M., Lukin A., Lupi S., Macchi A., Magazù S., Mandaglio G., Marcelli A., Margutti G., Mariani C., Mariani P., Marzo G., Masciovecchio C., Masjuan P., Mattioli M., Mazzitelli G., Merenkov N.P., Michelato P., Migliardo F., Migliorati M., Milardi C., Milotti E., Milton S., Minicozzi V., Mobilio S., Morante S., Moricciani D., Mostacci A., Muccifora V., Murtas F., Musumeci P., Nguyen F., Orecchini A., Organtini G., Ottaviani P.L., Pace C., Pace E., Paci M., Pagani C., Pagnutti S., Palmieri V., Palumbo L., Panaccione G.C., Papadopoulos C.F., Papi M., Passera M., Pasquini L., Pedio M., Perrone A., Petralia A., Petrarca M., Petrillo C., Petrillo V., Pierini P., Pietropaolo A., Pillon M., Polosa A.D., Pompili R., Portoles J., Prosperi T., Quaresima C., Quintieri L., Rau J.V., Reconditi M., Ricci A., Ricci R., Ricciardi G., Ricco G., Ripani M., Ripiccini E., Romeo S., Ronsivalle C., Rosato N., Rosenzweig J.B., Rossi A.A., Rossi A.R., Rossi F., Rossi G., Russo D., Sabatucci A., Sabia E., Sacchetti F., Salducco S., Sannibale F., Sarri G., Scopigno T., Sekutowicz J., Serafini L., Sertore D., Shekhovtsova O., Spassovsky I., Spadaro T., Spataro B., Spinozzi F., Stecchi A., Stellato F., Surrenti V., Tenore A., Torre A., Trentadue L., Turchini S., Vaccarezza C., Vacchi A., Valente P., Venanzoni G., Vescovi S., Villa F., Zanotti G., Zema N., Zobov M., Zomer F.		IRIDE: Interdisciplinary research infrastructure based on dual electron linacs and lasers	Nuclear Instruments and Methods in Physics Research A	740	138-146	2014		10.1016/j.nima.2013.11.040		
Journal article		ILL14FI7040	Germany			Fierlinger P.		Infrastructure for next generation experiments with ultracold neutrons	Physics Procedia	51	102-106	2014		10.1016/j.phpro.2013.12.023		
Journal article		ILL15FU7027	Germany			Fusl W.		Übrig bleibt, was übrig bleiben soll. Zur Konstruktion von Biografien durch Nachlässe	Berichte zur Wissenschaftsgeschichte	37	240-262	2014		10.1002/bewi.201401685		
Journal article		ILL14GA7047	Italy/Switzerland/Russia			Garino C., Borfecchia E., Gobetto R., van Bokhoven J.A., Lamberti C.		Determination of the electronic and structural configuration of coordination compounds by synchrotron-radiation techniques	Coordination Chemistry Reviews	277-278	130-186	2014		10.1016/j.ccr.2014.03.027		
Article from Conference in a Book		ILL14GO7023	France (not ILL)			Gondrand C., Durand F., Delcayre F., Crispel S., Baguer G.M.G.		Overview of Air Liquide refrigeration systems between 1.8 K and 200 K	AIP Conference Proceedings	1573	949-956	2014		10.1063/1.4860807		
Journal article		ILL15GR7026				Grant A.		Matter & Energy: Quantum Cheshire cat detected: Experiment appears to split neutrons from their properties	Science News	186	12	2014		10.1002/scin.2014.5591860511		
Report		ILL20IA7036				IAEA		Compendium of neutron beam facilities for high precision nuclear data measurements								
Journal article		ILL13IG7049	France (not ILL)/Greece/Spain			Iguaz F.J., Panebianco S., Axiotis M., Druillole F., Fanourakis G., Geralis T., Giomataris I., Harissopulos S., Lagoyannis A., Papaevangelou T.		The FIDIAS project: Development of a Micromegas TPC for the detection of low-energy heavy ions	Nuclear Instruments and Methods in Physics Research A	735	399-407	2014		10.1016/j.nima.2013.09.061		
Journal article		ILL16IT7045	Japan/France (not ILL)			Ito K., Yoshida K., Bellissent-Funel M.C., Yamaguchi T.		Dynamic properties of water confined in sephadex G15 gel by quasi-elastic neutron scattering and neutron spin echo measurements	Bulletin of the Chemical Society of Japan	87	603-608	2014		10.1246/bcsj.20130328		
Journal article		ILL14IW7007	Japan			Iwadate Y.		Structures and properties of rare-earth molten salts	Handbook on Physics and Chemistry of Rare Earths	44	87-168	2014		10.1016/B978-0-444-62711-7.00260-7		
Article from Conference in a Journal		ILL14JE7010	Austria			Jenke T., Abele H.		Experiments with Gravitationally-bound Ultracold Neutrons at the European Spallation Source ESS	Physics Procedia	51	67-72	2014		10.1016/j.phpro.2013.12.016		
Journal article		ILL15KE7015	UK			Keen D.A.		Crystallography and physics	Physica Scripta	89	128003-1-128003-6	2014		10.1088/0031-8949/89/12/128003		
Article from Conference in a Journal	OA	ILL15KL7013	Australia	D33/OrientExpress		Klose F., Constantine P., Kennedy S.J., Robinson R.A.		The Neutron Beam Expansion Program at the Bragg Institute	Journal of Physics : Conference Series	528	012026-1-012026-6	2014		10.1088/1742-6596/528/1/012026	WOS:000340245000026	
Journal article		ILL15KO7028	Russia		Materials Science and Engineering	Kostylev A.I., Ledovskoi I.S., Magomedbekov E.P., Rozenkevich M.B., Sakharovsky Y.A., Selivanenko I.L., Sobolev A. I., Florya S.N.		Technical and economic characteristics of processes for water detritiation by chemical isotope exchange in the water-hydrogen system	Radiochemistry	56	529-534	2014		10.1134/S1066362214050130		
Journal article		ILL14LA7043	Switzerland			Lauss B.		Ultracold neutron production at the second spallation target of the Paul Scherrer Institute	Physics Procedia	51	98-101	2014		10.1016/j.phpro.2013.12.022		
Journal article		ILL15LE7043				Lederer C.		Ni62(n,?) andNi63(n,?) cross sections measured at the n_TOF facility at CERN	Physical Review C	89	025810-1-025810-11	2014		10.1103/PhysRevC.89.025810		
Journal article		ILL14LE7016	UK			Lennon D., Parker S.F.		Inelastic neutron scattering studies of methyl chloride synthesis over alumina	Accounts of Chemical Research	47	1220-1227	2014		10.1021/ar400271c		
Journal article		ILL14LY7005	Sweden			Lyphout C., Fasth A., Nylen P.		Mechanical property of HVOF inconel 718 coating for aeronautic repair	Journal of Thermal Spray Technology	23	380-388	2014		10.1007/s11666-013-0007-8		
Journal article	OA	ILL22MA7088	Portugal			Margarida M., Costa R., de Almeida M.J.B.M., Paixão J.A.		Weak reflections in the laves phase FeBe2	Zeitschrift für Naturforschung A	48	47-50	2014		10.1515/zna-1993-1-212		
Journal article		ILL14MA7031	Denmark/Australia/France (not ILL)			Martins M.L., Gates W.P., Michot L., Ferrage E., Marry V., Nunes Bordallo H.		Neutron scattering, a powerful tool to study clay minerals	Applied Clay Science	96	22-35	2014		10.1016/j.clay.2014.05.004		
Article from Conference in a Journal		ILL14MC7026	Germany			McAndrew J., Paul S., Engels R., Fierlinger P., Gutsmiedl E., Schön J., Schott W.		Bound beta-decay of the free neutron: BoB	Physics Procedia	51	37-40	2014		10.1016/j.phpro.2013.12.009		
