"sep=	"
Document type	Open Access	Number	Authors countries	Instrument	Domain	Authors	ILL Authors	Titre	Journal title	Volume	Pages	Year	Proposal number	DOI	WOS Number	DOI added
Journal article	OA	ILL24AL6028	France (ILL)/Spain/Mexico			Alvarez-Alonso P., Camarillo-Garcia J.P., Salazar D., López-García J., Echevarria-Bonet C., Lázpita P., Padron-Aleman K., Sánchez Llamazares J.L., Flores-Zuniga H., Chernenko V.	Padron-Aleman K.	Investigating the reversible nature of the magnetocaloric effect under cyclic conditions of the Ni50Mn34In15Ga1 magnetic shape memory alloy	Journal of Alloys and Compounds	993	174576-1-174576-8	2024		10.1016/j.jallcom.2024.174576		
Journal article	OA	ILL24AN6045	Slovakia/UK/Japan/Germany/Romania/Algeria/Belgium/Finland/Spain/Italy/Switzerland/Denmark/France (ILL)/France (not ILL)			Andel B., Andreyev A.N., Blazhev A., Lica R., Naïdja H., Stryjczyk M., Van Duppen P., Algora A., Antalic S., Barzakh A., Benito J., Benzoni G., Berry T., Borge M.J.G., Chrysalidis K., Clisu C., Costache C., Cubiss J. G., De Witte H., Fedorov D. V., Fedosseev V.N., Fraile L. M., Fynbo H.O.U., Greenlees P.T., Harkness-Brennan L.J., Huyse M., Illana A., Jolie J., Judson D. S., Konki J., Lazarus I., Madurga M., Marginean N., Marginean R., Marsh B.A., Mihai C., Molkanov P.L., Mosat P., Murias J.R., Nacher E., Negret A., Page R.D., Pascu S., Perea A., Pucknell V., Rahkila P., Rapisarda E., Rezynkina K., Sanchez-Tembleque V., Schomacker K., Seliverstov M.D., Sotty C., Stan L., Surder C., Tengblad O., Vedia V., Vinals S., Wadsworth R., Warr N.		? decay of the ground state and of a low-lying isomer in 216Bi	Physical Review C	109	064321-1-064321-18	2024		10.1103/PhysRevC.109.064321		
Journal article		ILL24BA6037	Italy/France (not ILL)/France (ILL)/Germany			Baldesi L., Barlini S., Stefanini A.A., Camaiani A., Piantelli S., Casini G., Ciampi C., Cinausero M., Cicerchia M., Dell'Aquila D., Domenichetti L., Fabris D., Frosin C., Gozzelino A., Lombardo I., Marchi T., Moretto S., Mengarelli A., Olmi A., Pasquali G., Scomparin L., Valdre S., Vanzan E.		Performance of the antisymmetrized molecular dynamics transport model for low energy reactions: Comparison with experimental results for O18+C12 at 16.7 MeV/nucleon	Physical Review C	109	064618-1-064618-9	2024		10.1103/PhysRevC.109.064618		
Journal article	OA	ILL24CH6006	Switzerland/Romania/Poland/France (ILL)/Italy/Czech Republic/The Netherlands		Nuclear and Particle Physics	Chojnacki M., Kulesz K., Michelon I., Azaryan N., Barbero E., Crepieux B., Lica R., Murawski L., Ziemba M., Piersa-Silkowska M., Vitulova K., Korgul A., Jolivet R.B., Prokopowicz R., Köster U., Kowalska M.	Köster U.	Production of 129mXe and 131mXe via neutron activation of 128Xe and 130Xe at ILL-RHF and NCBJ-MARIA high-flux reactors	Applied Radiation and Isotopes	205	111174-1-111174-8	2024		10.1016/j.apradiso.2024.111174		
Journal article	OA	ILL24CO6014	Germany/France (ILL)/UK/USA			Coak M.J., Götze K., Northam De La Fuente T., Castelnovo C., Tidey J.P., Singleton J., Boothroyd A.T., Prabhakaran D., Goddard P.A.	Northam De La Fuente T.	Magnetotransport of Sm2Ir2O7 across the pressure-induced quantum-critical phase boundary	npj Quantum Materials	9	17-1-17-12	2024		10.1038/s41535-024-00624-8		
Journal article		ILL24DU6026	France (ILL)/France (not ILL)			Dutta S., Nossov A., Galarneau A., Didi Y., Said B., Denoyel R., Wernert V., Coasne B., Guenneau F.	Coasne B.	Apparent anomalous temperature dependence of self-diffusion studied by pulsed-field gradient nuclear magnetic resonance and thermodynamic modeling	Journal of Physical Chemistry Letters	15	3276-3284	2024		10.1021/acs.jpclett.3c03468		
Journal article	OA	ILL24FA6017	France (ILL)/Switzerland		Nuclear and Particle Physics	Favaretto C., Grundler P.V., Talip Z., Köster U., Johnston K., Busslinger S. D., Sprung P., Hillhouse C. C., Eichler R., Schibli R., Müller C., van der Meulen N.P.	Köster U.	Terbium-149 production: A focus on yield and quality improvement towards preclinical application	Scientific Reports	14	3284-1-3284-12	2024		10.1038/s41598-024-53610-2		
Journal article		ILL24FE6019	Brazil/France (ILL)/France (not ILL)			Ferreira de Souza N., Picard C., Franco L.F.M., Coasne B.	Coasne B.	Thermal conductivity of a fluid-filled nanoporous material: Underlying molecular mechanisms and the rattle effect	Journal of Physical Chemistry B	128	2516-2527	2024		10.1021/acs.jpcb.3c07088		
Journal article		ILL24HO6030	Denmark/Japan/Switzerland/UK/France (ILL)/USA/Sweden			Holm-Janas S., Akaki M., Fogh E., Kihara T., Le M., Forino P., Nikitin Stanislav E., Fennell T., Painganoor A., Vaknin D., Watanabe M., Christensen N., Nojiri H., Toft-Petersen R.		Magnetic structure and magnetoelectric properties of the spin-flop phase in 
LiFePO4	Physical Review B	109	174413-1-174413-11	2024		10.1103/PhysRevB.109.174413		
Journal article		ILL24HO6001	France (ILL)/Tunisia/Saoudi Arabia/France (not ILL)			Houchati M.I., Ferjani H., Smida Y.B., Oueslati A., Chniba-Boudjada N., Fabelo O., Bardeau J.F., Paulus W., Ceretti M., Hamzaoui A.H.	Fabelo O.	Green luminescence in zero-dimensional lead bromide hybrid material (C5H9N3)2PbBr6: Experimental and theoretical studies	Journal of Molecular Structure	1295	136687-1-136687-10	2024		10.1016/j.molstruc.2023.136687		
Journal article		ILL24HU6020	Canada/France (ILL)/France (not ILL)/Switzerland			Hua L., Shomali A., Zhang C., Coasne B., Derome D., Carmeliet J.	Coasne B.	Anisotropic deformation in a polymer slab subjected to fluid adsorption	Langmuir	40	4382-4391	2024		10.1021/acs.langmuir.3c03677		
Journal article		ILL24IC6018	Japan/France (ILL)/France (not ILL)		Nuclear and Particle Physics	Ichikawa Y., Shinohara Y., Go S., Nishibata H., Andó S., Asahi K., Baba H., Fukuda N., Georgiev G., Gradkov A., Imamura K., Kishimoto K., Lozeva R., Mukai M., Niikura M., Nor N.M., Odahara A., Shimizu Y., Si M., Stoychev K., Suzuki H., Tajima M., Takamine A., Takeda H., Takeshige S., Tanaka M., Togano Y., Ueno H., Wakasa T., Yamashita W., Yamazaki H., Yoshimoto M., Daugas J.M.	Daugas J.M.	Nuclear-moment measurement using highly spin-aligned RI beams: Recent activities at RIBF	Hyperfine Interactions	245	26-1-26-6	2024		10.1007/s10751-024-01869-2		
Journal article		ILL24JU6031	Spain/Germany/Poland/Japan/France (not ILL)/UK/France (ILL)/Korea/China/Italy/USA/Australia/Belgium		Nuclear and Particle Physics	Jungclaus A., Górska M., Mikolajczuk M., Acosta J., Taprogge J., Nishimura S., Doornenbal P., Lorusso G., Simpson G.S., Söderström P.A., Sumikama T., Xu Z., Kumar P., Martinez-Pinedo G., Nowacki F., Van Isacker P., Baba H., Browne F., Fukuda N., Gernhäuser R., Gey G., Inabe N., Isobe T., Jung H.S., Kameda D., Kim G.D., Kim Y.K., Kojouharov I., Kubo T., Kurz N., Kwon Y.K., Li Z., Sakurai H., Schaffner H., Shimizu Y., Steiger K., Suzuki H., Takeda H., Vajta Zs., Watanabe H., Wu J., Yagi A., Yoshinaga K., Benzoni G., Bönig S., Chae K.Y., Daugas J.M., Drouet F., Gadea A., Ilieva S., Kondev F.G., Kröll T., Lane G.J., Montaner-Piza A., Moschner K., Naqvi F., Niikura M., Nishibata H., Odahara A., Orlandi R., Patel Z., Podolyak Zs., Wendt A.		Excited-state half-lives in Cd130 and the isospin dependence of effective charges	Physical Review Letters	132	222501-1-222501-7	2024		10.1103/PhysRevLett.132.222501		
Journal article		ILL24KL6033	France (ILL)/France (not ILL)/Switzerland			Klotz S., Amand L., Lelièvre-Berna E., Khasanov R., Elender M., Annighöfer B., Delbes L., Maurice J., Payre C., Doisneau B.	Lelièvre-Berna E.	Strong resistance to hydrogen embrittlement of high-performance superalloy MP35N under 200?MPa (?30,000?psi) H2 gas pressure	High Pressure Research	44	116-126	2024		10.1080/08957959.2024.2339332		
Journal article	OA	ILL24KO6042	Germany/France (not ILL)/France (ILL)/Finland			Kong X., Hurst M., Helfen L., Gaslain F., Baumbach T., Suhonen H., Morgeneyer T.F.	Helfen L.	Ductile shear damage micromechanisms studied by correlative multiscale nanotomography and SEM/EBSD for a recrystallized aluminum alloy 2198 T8	Journal of Materials Science	59	13690-13708	2024		10.1007/s10853-024-09933-6		
Journal article	OA	ILL24KU6027	France (ILL)/France (not ILL)/Germany/Switzerland			Kuhrts L., Prévost S., Scoppola E., Hirt A.M., Faivre D.	Prévost S.	Biomimetic approach for sustainable magnetite nanoparticle synthesis using polycations	Advanced Functional Materials	34	2311856-1-2311856-9	2024		10.1002/adfm.202311856		
Journal article		ILL24LE6003	France (ILL)/France (not ILL)		Crystallography and Chemistry	Le Thanh D., Guiet A., Suard E., Berthelot R.	Suard E.	Downsizing FeNb11O29 anode material through ultrafast solid-state microwave-assisted synthesis for enhanced electrochemical performance	Journal of Solid State Chemistry	330	124444-1-124444-8	2024		10.1016/j.jssc.2023.124444		
Journal article	OA	ILL24LU6016	USA/UK/Germany/France (ILL)			Lu H., Barlow M.J., Basler D., Gutfreund P., Holderer O., Ioffe A., Pasini S., Pistel P., Salhi Z., Zhernenkov K., Goodson B.M., Snow W.M., Babcock E.	Gutfreund P.	First measurement of neutron birefringence in polarized 129Xe and 131Xe nuclei	Physical Review C	109	L011001-1-L011001-7	2024		10.1103/PhysRevC.109.L011001		
Journal article	OA	ILL24ME6049	France (not ILL)/France (ILL)/Russia			Mentré O., Minaud C., Wolber J., Duffort V., Pautrat A., Stolyarov V.S., Arévalo-López Á.M.	Wolber J.	Giant coercive-field (Hc @ 2 K > 17 T) by freezing of magnetic domains in BaFe2(PO4)2	Solid State Sciences	153	107577-1-107577-7	2024		10.1016/j.solidstatesciences.2024.107577		
Journal article		ILL24ME6050	France (not ILL)/France (ILL)/The Netherlands			Mercadier B., Legein C., Body M., Famprikis T., Morcrette M., Suard E., Masquelier C., Dambournet D.	Suard E.	Insights into the micro-structure-transport relationships of the fluoride-ion conductor t-BaSnF4 synthesized by spark plasma sintering	Chemistry of Materials	36	8076?8087	2024		10.1021/acs.chemmater.4c01644		
Journal article		ILL24MO6022	France (ILL)/France (not ILL)/Japan			Mouhand A., Nakatani K., Kono F., Hippo Y., Matsuo T., Barthe P., Peters J., Suenaga Y., Tamada T., Roumestand C.	Peters J.	1H, 13C and 15N backbone and side-chain resonance assignments of the human oncogenic protein NCYM	Biomolecular NMR assignments	Published online	1-6	2024		10.1007/s12104-024-10169-3		
Journal article	OA	ILL24MU6032	Germany/France (ILL)/France (not ILL)			Murphy G.L., Bazarkina E., Svitlyk V., Rossberg A., Potts S., Hennig C., Henkes M., Kvashnina K.O., Huittinen N.	Svitlyk V.	Probing the long- and short-range structural chemistry in the C-type bixbyite oxides Th0.40Nd0.48Ce0.12O1.76, Th0.47Nd0.43Ce0.10O1.785, and Th0.45Nd0.37Ce0.18O1.815 via synchrotron X-ray diffraction and absorption spectroscopy	ACS Omega	9	27397-27406	2024		10.1021/acsomega.4c02200		
Journal article	OA	ILL24NE6036	France (ILL)			Neulinger T.		Developments in neutron Fourier time-of-flight	Nuclear Instruments and Methods in Physics Research A	1065	169513-1-169513-1	2024		10.1016/j.nima.2024.169513		
Journal article	OA	ILL24OJ6044	Germany/France (not ILL)/France (ILL)/Switzerland			Oji U.K., Fang H., Ludwig W., Lhuisser P., Samothrakitis S., Larsen C.B., Hilger A., Manke I., Tovar M., Cubitt R., Kardjilov N.	Oji U.K./Cubitt R.	Investigating the flux pinning dependence on grain orientation in YBa2Cu3O7-delta using neutron tomography	Materials Characterization	214	114082-1-114082-6	2024		10.1016/j.matchar.2024.114082		
Journal article	OA	ILL24OJ6021	Germany/France (ILL)			Oji U.K., Hilger A., Manke I., Foerster C., Cubitt R., Kardjilov N.	Oji U.K./Cubitt R.	Spatial 3D correlation of flux pinning with porosity distribution in YBa2Cu3O7? using tensorial neutron tomography	Materials Today Communications	39	108579-1-108579-7	2024		10.1016/j.mtcomm.2024.108579		
Journal article		ILL24PE6047	France (ILL)/France (not ILL)/Italy			Perrotta L., Vitale E., Arciero M., Roubin E., Tengattini A., Russo G., Viggiani G.	Tengattini A.	Microstructural insights into the mechanical behaviour of Lightweight Cemented Soils using X-ray microtomography	Géotechnique Letters	14	1-7	2024		10.1680/jgele.24.00003		
Journal article	OA	ILL24PI6005	Belgium/France (ILL)/Spain		Materials Science and Engineering	Pillado B., Matykina E., Olivier M.G., Mohedano M., Arrabal R.	Pillado B.	Functionalization of plasma electrolytic oxidation/sol-gel Coatings on AZ31 with organic corrosion inhibitors	Coatings	14	84-1-84-23	2024		10.3390/coatings14010084		
Journal article	OA	ILL24RA6035	China/Japan/France (ILL)/UK			Ran K., Tan W., Sun X., Liu Y., Dalgliesh R.M., Steinke N.J., van der Laan G., Langridge S., Hesjedal T., Zhang S.	Steinke N.J.	Bending skyrmion strings under two-dimensional thermal gradients	Nature Communications	15	4860-1-4860-8	2024		10.1038/s41467-024-49288-9		
Journal article	OA	ILL24RO6040	France (not ILL)/France (ILL)			Rossi C., Tengattini A., Viggiani G.	Tengattini A.	A constitutive model for lightly cemented granular materials	Computers and Geotechnics	174	106550-1-106550-16	2024		10.1016/j.compgeo.2024.106550		
Journal article	OA	ILL24SA6039	China/Germany/France (not ILL)/France (ILL)			Santoro M., Rouquette J., Fabbiani M., Di Renzo F., Coasne B., Dong W., Glazyrin K., Haines J.	Coasne B.	Strong swelling and symmetrization in siliceous zeolites due to hydrogen insertion at high pressure	Angewandte Chemie International Edition	63	e202406425-1-e202406425-7	2024		10.1002/anie.202406425		
Journal article	OA	ILL24SA6004	Switzerland/USA/Germany/Denmark/Italy/France (ILL)/Hungary/Sweden/Norway		Applied Physics, Instrumentation and Techniques	Santoro V., Andersen K.H., Bentley P., Bernasconi M., Bertelsen M., Besler Y., Bianchi A., Brys T., Campi D., Chambon A., Czamler V., Di Julio D.D., Dian E., Dunne K., Ferreira M.J., Fierlinger P., Friman-Gayer U., Folsom B.T., Gaye A., Gorini G., Happe C., Holl M., Kamyshkov Y., Kittelmann T., Klinkby E.B., Kolevatov R., Laporte S.I., Lauritzen B., Marquez Damian J.I., Meirose B., Mezei F., Milstead D., Muhrer G., Neshvizhevsky V., Rataj B., Rizzi N., Rosta L., Samothrakitis S., Schober H., Selknaes J.R., Silverstein S., Strobl M., Strothmann M., Takibayev A., Wagner R., Willendrup P., Xu S., Yiu S.C., Zanini L., Zimmer O.	Zimmer O./Nesvizhevsky V.	The HighNESS project at the European Spallation Source: Current status and future perspectives	Nuclear Science and Engineering	198	31-63	2024		10.1080/00295639.2023.2204184		
Journal article	OA	ILL24SC6043	France (ILL)/Switzerland			Schumann D., Maugeri E., Dai Y., Dressler R., Köster U.	Köster U.	Towards a re-determination of the 42Ar half-life	Journal of Radioanalytical and Nuclear Chemistry	333	3615-3620	2024		10.1007/s10967-023-09308-2		
Journal article	OA	ILL24SC6034	France (ILL)/UK			Schwaighofer B., González M.A., Evans I.R.	González M.A.	Computational insights into Dion-Jacobson type oxide ion conductors	Journal of Physical Chemistry C	128	8894-8899	2024		10.1021/acs.jpcc.4c01166		
Journal article		ILL24SO6046	France (not ILL)/Burkina Faso/France (ILL)			Sougoti M., Le Marrec F., Beaufils S., Ollivier J., Bourges P., Toudic B., Ecolivet C.		Phase diagram and deuteration contribution to the phonon analysis of the normal-to-incommensurate phase transition of 4-4? dichlorobiphenyl sulfone determined using Raman and neutron scattering	Physical Review B	110	024103-1-024103-11	2024		10.1103/PhysRevB.110.024103		
Journal article	OA	ILL24SP6023	Austria/France (ILL)/France (not ILL)/UK/Spain			Spinozzi F., Moretti P., Perinelli D.R., Corucci G., Piergiovanni P., Amenitsch H., Sancini G.A., Franzese G., Blasi P.	Corucci G.	Small-angle X-ray scattering unveils the internal structure of lipid nanoparticles	Journal of Colloid and Interface Science	662	446-459	2024		10.1016/j.jcis.2024.02.076		
Journal article		ILL24SR6038	China/India/Germany/France (not ILL)/France (ILL)/Japan			Srivatsav A.T., Liang K., Jaworek M.W., Dong W., Matsuo T., Grélard A., Peters J., Winter R., Duan M., Kapoor S.	Matsuo T./Peters J.	Residual membrane fluidity in mycobacterial cell envelope layers under extreme conditions underlines membrane-centric adaptation	Journal of Physical Chemistry B	128	6838-6852	2024		10.1021/acs.jpcb.4c02469		
Journal article		ILL24TU6048	France (ILL)/France (not ILL)/Taiwan/USA			Tung C.H., Chen H.L., Huang G.R., Porcar L., Impéror M., Carrillo J.M.Y., Wang Y., Sumpter B.G., Shinohara Y., Taylor J., Do C., Chen W.R.	Porcar L.	Identifying topological defects in lamellar phases through contour analysis of complex wave fields	Macromolecules	57	6979?6989	2024		10.1021/acs.macromol.4c00821		
Journal article		ILL24VA6013	France (ILL)/Spain/UK			Valverde A., Alkain E., Rio-Lopez N.A., Lezama L., Fidalgo-Marijuan A., Laza J., Wuttke S., Porro J.M., Oyarzabal I., Jíménez-Ruiz M., García Sakai V., Arias P.L., Agirrezabal-Telleria I., Fernández de Luis R.	Jíménez-Ruiz M.	Enzyme-mimicking of copper-sites in metal-organic frameworks for oxidative degradation of phenolic compounds	Journal of Materials Chemistry A	12	4555-4571	2024		10.1039/D3TA06198A		
Journal article		ILL24YA6010	Japan/France (ILL)/France (not ILL)/USA			Yamaguchi T., Dukhin A., Ryu Y.J., Zhang D., Borodin O., González M.A., Yamamuro O., Price D.L., Saboungi M.L.	González M.A.	Non-Newtonian dynamics in water-in-salt electrolytes	Journal of Physical Chemistry Letters	15	76-80	2024		10.1021/acs.jpclett.3c03145		
Journal article	OA	ILL24YU6015	UK/Switzerland/Spain/Germany/France (ILL)/Belgium/Italy/South Africa/USA/Denmark/Finland/Poland/Romania		Nuclear and Particle Physics	Yue Z., Andreyev A.N., Barzakh A.E., Borzov I.N., Cubiss J.G., Algora A., Au M., Balogh M., Bara S., Bark R.A., Bernerd C., Borge M.J.G., Brugnara D., Chrysalidis K., Cocolios T.E., De Witte H., Favier Z., Fraile L.M., Fynbo H.O.U., Gottardo A., Grzywacz R., Heinke R., Illana A., Jones P.M., Judson D.S., Korgul A., Köster U., Labiche M., Le L., Lica R., Madurga M., Marginean N., Marsh B., Mihai C., Nacher E., Neacsu C., Nita C., Olaizola B., Orce J.N., Page C.A.A., Page R.D., Pakarinen J., Papadakis P., Penyazkov G., Perea A., Piersa-Silkowska M., Podolyak Zs., Prosnyak S.D., Reis E., Rothe S., Sedlak M., Skripnikov L.V., Sotty C., Stegemann S., Tengblad O., Tolokonnikov S.V., Udias J.M., Van Duppen P., Warr N., Wojtaczka W.	Köster U.	Magnetic moments of thallium isotopes in the vicinity of magic N?=?126	Physics Letters B	849	138452-1-138452-7	2024		10.1016/j.physletb.2024.138452		
Article from Conference in a Journal	OA	ILL24ZA6041	Denmark/Hungary/Germany/France (ILL)/Italy/Switzerland/Sweden			Zanini L., Akhyani M., Bertelsen M., Bessler Y., Brys T., Chambon A., Marquez Damian J.I., Folsom B., Nesvizhevsky V., Rataj B., Rizzi N., Santoro V., Shuai H., Strothmann M., Takibayev A., Wagner R., Zimmer O.	Nesvizhevsky V./Wagner R./Zimmer O.	Moderator developments in HighNESS and feedback to compact sources design	EPJ Web of Conferences	298	03001-1-03001-8	2024		10.1051/epjconf/202429803001		
Journal article	OA	ILL23AB6094	UK/Switzerland/Poland/France (ILL)/France (not ILL)/Germany/USA/Serbia/Belgium		Nuclear and Particle Physics	Abel C., Ayres N.J., Ban G., Bison G., Bodek K., Bondar V., Bouillaud T., Chanel E., Chen J., Chen W., Chiu P.J., Crawford C.B., Daum M., Doorenbos C.B., Emmenegger S., Ferraris-Bouchez L., Fertl M., Fratangelo A., Griffith W.C., Grujic Z.D., Harris P., Kirch K., Kletzl V., Koss P.A., Krempel J., Lauss B., Lefort T., Mullan P., Naviliat-Cuncic O., Pais D., Piegsa F.M., Pignol G., Rawlik M., Rienäcker I., Ries D., Roccia S., Rozpedzik D., Saenz-Arevalo W., Schmidt-Wellenburg P., Schnabel A., Segarra E.P., Severijns N., Shelton T., Svirina K., Tavakoli Dinani R., Thorne J., Virot R., Yazdandoost N., Zejma J., Ziehl N., Zsigmond G.	Chanel E.	A large ?Active Magnetic Shield? for a high-precision experiment	European Physical Journal C	83	1061-1-1061-17	2023		10.1140/epjc/s10052-023-12225-z		
Journal article		ILL23AB6063	China/Denmark/France (ILL)/France (not ILL)/Germany/Greece/Italy/Poland/Russia/Spain/Sweden/Switzerland/Turkey/USA/Brazil/Japan/Mexico/Israel/Bulgaria/Croatia/Austria		Nuclear and Particle Physics	Abele H., Alekou A., Algora A., Andersen K., Baesler S., Barrón-Palos L., Barrow J., Baussan E., Bentley P., Berezhiani Z., Besler Y., Bhattacharyya A.K., Bianchi A., Bijnens J., Blanco C., Kraljevic N.B., Blennow M., Bodek K., Bogomilov M., Bohm C., Bolling B., Bouquerel E., Brooijmans G., Broussard L.J., Buchan O., Burgman A., Calén H., Carlile C.J., Cederkäll J., Chanel E., Christiansen P., Cirigliano V., Collar J.I., Collins M., Crawford C.B., Morales E.C., Cupial P., D'Alessi L., Damian J.I.M., Danared H., Dancila D., de Andre J.P.A.M., Delahaye J.P., Degenkolb S., Di Julio D.D., Dracos M., Dunne K., Efthymiopoulos I., Ekelof T., Eklund L., Eshraqi M., Esteban I., Fanourakis G., Farricker A., Fernandez-Martinez E., Ferreira M.J., Fertl M., Fierlinger P., Folsom B., Frank A., Fratangelo A., Friman-Gayer U., Fukuda T., Fynbo H.O.U., Garcia Sosa A., Gazis N., Galnander B., Geralis T., Ghosh M., Gokbulut G., Gomez-Cadenas J.J., Gonzalez-Alonso M., Gonzalez F., Halic L., Happe C., Heil P., Heinz A., Herde H., Holl M., Jenke T., Jenssen M., Jericha E., Johansson H.T., Johansson R., Johansson T., Kamyshkov Y., Topaksu A.K., Kildetoft B., Kirch K., Klicek B., Klinkby E., Kolevatov R., Konrad G., Koziol M., Krhac K., Kupsc A., Lacny ?., Larizgoitia L., Lewis C.M., Lindroos M., Lychagin E., Lytken E., Maiano C., Marciniewski P., Markaj G., Märkisch B., Marrelli C., Martins C., Meirose B., Mezzetto M., Milas N., Milstead D., Monrabal F., Muhrer G., Nepomuceno A., Nesvizhevsky V., Nilsson T., Novella P., Oglakci M., Ohlsson T., Olvegård M., Oskarsson Å., Ota T., Park J., Patrzalek D., Perrey H., Persoz M., Petkov G., Piegsa F.M., Pistillo C., Poussot P., Privitera P., Rataj B., Ries D., Rizzi N., Rosauro-Alcaraz S., Rozpedzik D., Saiang D., Santoro V., Schmidt U., Schober H., Schulthess I., Silverstein S., Simon A., Sina H., Snamina J., Snow W.M., Soldner T., Stavropoulos G., Stipcevic M., Szybinski B., Takibayev A., Tang Z., Tarkeshian R., Theroine C., Thorne J., Terranova F., Thomas J., Tolba T., Torres-Sánchez P., Trachanas E., Tsenov R., Uggerhøj U.I., Vankova-Kirilova G., Vassilopoulos N., Wagner R., Wang X., Wildner E., Wolke M., Wurtz J., Yiu S.C., Yoon S.G., Young A.R., Zanini L., Zejma J., Zerzion D., Zimmer O., Zormpa O., Zou Y.	Degenkolb S./Jenke T./Nesvizhevsky V./Soldner T./Theroine C./Wagner R./Zimmer O.	Particle physics at the European Spallation Source	Physics Reports	1023	1-84	2023		10.1016/j.physrep.2023.06.001		
Journal article	OA	ILL23AB6059	Argentina/France (ILL)/Spain/Brazil/France (not ILL)		Crystallography and Chemistry	Abia C., López C.A., Gainza J., Rodrigues J.E.F.S., Fragoso B., Ferrer M.M., Fernández-Díaz M.T., Fauth F., Martínez J.L., Alonso J.A.	Abia C./Fernández-Díaz M.T.	Structural features and optical properties of all-inorganic zero-dimensional halides Cs4PbBr6-xIx obtained by mechanochemistry	ACS Applied Materials & Interfaces	15	40762-40771	2023		10.1021/acsami.3c07707		
Journal article	OA	ILL24AD6008	Switzerland/Poland/France (ILL)/France (not ILL)/Korea/Japan/Germany/Sweden/UK		Nuclear and Particle Physics	Adrich P., Blumer P., Caratsch G., Chung M., Cladé P., Comini P., Crivelli P., Dalkarov O., Debu P., Douillet A., Drapier D., Froelich P., Garroum N., Guellati-Khélifa S., Guyomard J., Hervieux P.A., Hilico L., Indelicato P., Jonsell S., Karr J.P., Kim B., Kim S., Kim E.S., Ko Y.J., Kosinski T., Kuroda N., Latacz B.M., Lee B., Lee H., Lee J., Lim E., Liszkay L., Lunney D., Manfredi G., Mansoulié B., Matusiak M., Nesvizhevsky V., Nez F., Niang S., Ohayon B., Park K., Paul N., Pérez P., Regenfus C., Reynaud S., Roumegou C., Roussé J.Y., Sacquin Y., Sadowski G., Sarkisyan J., Sato M., Schmidt-Kaler F., Staszczak M., Szymczyk K., Tanaka T.A., Tuchming B., Vallage B., Voronin A., van der Werf D.P., Welker A., Won D., Wronka S., Yamazaki Y., Yoo K.H., Yzombard P.	Nesvizhevsky V.	Production of antihydrogen atoms by 6 keV antiprotons through a positronium cloud	European Physical Journal C	83	1004-1-1004-11	2023		10.1140/epjc/s10052-023-12137-y		
Journal article	OA	ILL23AL6012	France (ILL)/France (not ILL)		Materials Science and Engineering	Ali D.O.A., Fabbiani M., Coulomb L., Bosc S., Villeroy B., Estournès C., Koza M.M., Beaudhuin M., Viennois R.	Ali D.O.A./Koza M.M.	Reactive spark plasma sintering and thermoelectric properties of Zintl semiconducting Ca14Si19 compound	Crystals	13	262-1-262-12	2023		10.3390/cryst13020262		
Journal article		ILL23AL6053	France (ILL)/France (not ILL)/Germany/Spain/USA/Morocco		Nuclear and Particle Physics	Almazán H., Bernard L., Blanchet A., Bonhomme A., Buck C., Chalil A., Chebboubi A., del Amo Sanchez P., El Atmani I., Labit L., Lamblin J., Letourneau A., Lhuillier D., Licciardi M., Lindner M., Litaize O., Materna T., Pessard H., Réal J.S., Ricol J.S., Roca C., Rogly R., Salagnac T., Savu V., Schoppmann S., Soldner T., Stutz A., Thulliez L., Vialat M.	Soldner T./Vialat M.	Improved FIFRELIN de-excitation model for neutrino applications	European Physical Journal A	59	75-1-75-10	2023		10.1140/epja/s10050-023-00977-x		
Journal article		ILL23AN6020	UK/India/South Africa/France (ILL)/France (not ILL)/Switzerland/USA		Magnetic Structures	Anand V.K., Adroja D.T., Ritter C., Das D., Nair H.S., Bhattacharyya A., Liborio L., Sturniolo S., Pratt F.L., Le D., André G., Luetkens H., Hillier A.D., Hossain Z.	Ritter C.	Magnetic structure and crystal field states of Pr2Pd3Ge5: ?SR and neutron scattering investigations	Physical Review B	107	104412-1-104412-12	2023		10.1103/PhysRevB.107.104412		
Journal article		ILL23AN6009	Denmark/Switzerland/Austria/Finland/France (ILL)		Magnetic Excitations	Andersen A.B.A., Christiansen R.T., Holm-Janas S., Manvell A.S., Pedersen K.S., Sheptyakov D., Embs J.P., Jacobsen H., Dachs E., Vaara J., Lefmann K., Nielsen U.G.	Christiansen R.T.	The magnetic properties of MAl4(OH)12SO4·3H2O with M = Co2+, Ni2+, and Cu2+ determined by a combined experimental and computational approach	Physical Chemistry Chemical Physics	25	3309-3322	2023		10.1039/D2CP05362D		
Book chapter		ILL24AP6025	UK/Spain/Germany/France (ILL)/France (not ILL)			Appleby G., Boudou C., Gilles R., Mitchell E., Sánchez A., Shotton E.	Boudou C.	Analytical research infrastructures and industry engagement: drivers, challenges, and impact				2023		10.1088/978-0-7503-3631-4ch9		
