"sep=	"
Document type	Open Access	Number	Authors countries	Instrument	Domain	Authors	ILL Authors	Titre	Journal title	Volume	Pages	Year	Proposal number	DOI	WOS Number	DOI added
Journal article		ILL24AG1042	France (not ILL)/UK	D1B	Crystallography and Chemistry	Agafonov A., Pineda-Romero N., Witman M., Nassif V., Vaughan G.B.M., Lei L., Ling S., Grant D.M., Dornheim M., Allendorf M., Stavila V., Zlotea C.		Destabilizing high-capacity high entropy hydrides via earth abundant substitutions: From predictions to experimental validation	Acta Materialia	276	120086-1-120086-10	2024	5?25?284	10.1016/j.actamat.2024.120086		
Journal article	OA	ILL24BL1027	UK	D50		Blanche J., Mitchell D., Shang J., Flynn D., Pavuluri S., Desmulliez M.		Dynamic analysis of geomaterials using microwave sensing	Scientific Reports	14	7112-1-7112-17	2024	UGA-38	10.1038/s41598-024-57653-3		
Thesis	OA	ILL24BL1040	Switzerland	IN5/D23		Blasco D.F.		Dielectric phenomena at magnetic quantum critical points				2024		10.3929/ethz-b-000677717		
Thesis	OA	ILL24BO1050	France (not ILL)	D1B		Bouzidi A.		Hydrogen absorption properties in high entropy alloys containing refractory elements								
Journal article		ILL24CA1053	Czech Republic/France (not ILL)	SHARP		Candolfi C., Le Gars L., Guélou G., Ventrapati P., Prestipino C., Guizouarn T., Pasturel M., Levinsky P., Lemoine P., Raveau B., Shen X., Lebedev O.I., Berrod Q., Zanotti J.M., Guilmeau E.		Influence of cationic ordering on the lattice dynamics of monoclinic Cu5Sn2S7 and cubic Cu5Sn2S6.65Cl0.35 sulfides	Journal of Physical Chemistry C	128	14075-14084	2024	CRG-2897	10.1021/acs.jpcc.4c03489		
Journal article		ILL24CH1039	Canada/USA	RICOCHET		Chen R., Figueroa-Feliciano E., Bratrud G., Chang C.L., Chaplinsky L., Cudmore E., Van De Pontseele W., Formaggio J.A., Harrington P., Hertel S.A., Hong Z., Kennard K. T., Li M., Lisovenko M., Mateo L.O., Mayer D.W., Novati V., Patel P.K., Pinckney H.D., Raha N., Reyes F.C., Rodríguez A., Schmidt B., Stachurska J., Veihmeyer C., Wang G., Winslow L., Yefremenko V.G., Zhang J.		Modeling and characterization of TES-based detectors for the Ricochet experiment	Journal of Low Temperature Physics	215	217-224	2024		10.1007/s10909-024-03087-0		
Journal article	OA	ILL24CH1022	Spain/Chile	D1B		Chivite-Lacaba M., Prado-Gonjal J., Troncoso L., Alonso J.A., Cascos V.		SrCo0.50Fe0.40Ir0.10O3-? decorated with Pd and La0.8Sr0.2Ga0.83Mg0.17O3-?: A cleaner electrode for intermediate-temperature solid oxide fuel cells with reduced cobalt content	ACS Applied Energy Materials	7	986-996	2024		10.1021/acsaem.3c02361		
Journal article	OA	ILL24CH1048	UK	FIGARO	Soft Matter	Chrysanthou A., Bosch-Fortea M., Nadal C., Zarbakhsh A., Gautrot J.E.		Interfacial mechanics of ?-casein and albumin mixed protein assemblies at liquid-liquid interfaces	Journal of Colloid and Interface Science	674	379-391	2024	9-13-838, 9-12-588	10.1016/j.jcis.2024.06.111		
Journal article		ILL24DI1037	France (not ILL)/Poland	D1B		Diatta A., Colin C.V., Viennois R., Beaudhuin M., Haines J., Hermet P., van der Lee A., Konczewicz L., Armand P., Rouquette J.		BaCoO2 with tetrahedral cobalt coordination: The missing element to understand energy storage and conversion applications in BaCoO3-?-based materials	Journal of the American Chemical Society	146	15027-15035	2024		10.1021/jacs.3c14047		
Journal article		ILL24FA1026	Estonia/France (not ILL)/Switzerland/UK/USA	D23		Facheris L., Nabi S.D., Povarov K.Y., Yan Z., Moshe A.G., Nagel U., Room T., Podlesnyak A., Ressouche E., Beauvois K., Stewart J.R., Manuel P., Khalyavin D., Orlandi F., Zheludev A.		Magnetic field induced phases and spin Hamiltonian in Cs2CoBr4	Physical Review B	109	104433 -1-104433 -13	2024		10.1103/PhysRevB.109.104433		
Journal article	OA	ILL24FI1013	Austria/France (not ILL)	PF2	Nuclear and Particle Physics	Fischer H., Käding C., Sedmik R.I.P., Abele H., Brax P., Pitschmann M.		Search for environment-dependent dilatons	Physics of the Dark Universe	43	101419-1-101419-8	2024		10.1016/j.dark.2024.101419		
Journal article		ILL24GO1014	France (not ILL)/Spain/Russia	D15/D23		Golosovsky I.V., Mukhin A.A., Skumryev V., Ressouche E., Ivanov V.Y., Gudim I.A.		Hidden magnetic instability in the substituted multiferroics (Nd,Tb)Fe3(BO3)4	Physical Review B	109	014421-1-014421-7	2024		10.1103/PhysRevB.109.014421		
Journal article		ILL24GO1004	Germany/Hungary	PF1B		Gomez-Guzman J.M., Opel M., Veres T., Link P., Bottyán L.		Structural, electrical and magnetic properties of reactively DC sputtered Cu and Ti thin films. Application to Cu/Ti neutron supermirrors for low spin-flip applications	Nuclear Instruments and Methods in Physics Research A	1059	169005-1-169005-11	2024		10.1016/j.nima.2023.169005		
Journal article		ILL24GU1006	France (not ILL)	D16/D1B	Soft Matter	Guenet J.M.		Contribution of neutron diffraction to the study of crystallo-solvates (molecular compounds) from polymers and from supramolecular polymers	Polymer	293	126638-1-126638-7	2024		10.1016/j.polymer.2023.126638		
Journal article	OA	ILL24HA1046	UK/South Africa	SALSA		Hattingh D.G., James M.N., Schwim F.K., Opperman R., Bernard D., Wedderburn I.		Innovative rotary friction welding of heat exchanger tube nozzles on high pressure headers	International Journal of Pressure Vessels and Piping	210	105263-1-105263-10	2024		10.1016/j.ijpvp.2024.105263		
Journal article	OA	ILL24HE1018	Sweden	NeXT		Hektor J., Engqvist J., Hall S.A.		evoSegment: 4D image segmentation of microstructural evolution using joint histograms	Tomography of Materials and Structures	4	100023-1-100023-10	2024		10.1016/j.tmater.2023.100023		
Journal article	OA	ILL24JI1031	Australia	D11/D22		Ji Y., Blach T., Radlinski A.P., Vu P., Roshan H., Regenauer-Lieb K.		Environmental cell for USANS/SANS studies with aggressive fluids at high pressures and temperatures	Measurement	235	114997-1-114997-14	2024		10.1016/j.measurement.2024.114997		
Journal article	OA	ILL24KA1041	Sweden	SuperADAM		Karlsson M., Johansson L.G., Mazzei L., Froitzheim J., Wolff M.		Neutron reflectivity in corrosion research on metals	ACS Materials Au	4	346-353	2024		10.1021/acsmaterialsau.4c00011		
Journal article		ILL24KL1028	Czech Republic	D20	Magnetic Structures	Klicpera M., Stasko D.		Crystallographic parameters and their systematics within the CeCuAl3-related family of intermetallics	Solid State Sciences	151	107529-1-107529-5	2024	5-31-2447	10.1016/j.solidstatesciences.2024.107529		
Journal article		ILL24LE1010	France (not ILL)	D22	Crystallography and Chemistry	Lepêtre-Mouelhi S., Gobeaux F., da Silva A., Prades L., Feng J., Wien F., Couvreur P., Testard F.		Leu-enkephalin lipid prodrug nanoparticles: Relationship between nanoparticles? structure, interaction with bovine serum albumin, and analgesic activity	Chemistry of Materials	36	694-707	2024	9-13-1028, 9-13-1068	10.1021/acs.chemmater.3c02070		
Journal article	OA	ILL24LI1034	Australia/Denmark/Sweden/Belgium/France (not ILL)	SuperADAM	Soft Matter	Li S., Hammond O.S., Nelson A., De Campo L., Moir M., Recsei C., Shimpi M.R., Glavatskih S., Pilkington G.A., Mudring A.V., Rutland M.W.		Anion architecture controls structure and electroresponsivity of anhalogenous ionic liquids in a sustainable fluid	Journal of Physical Chemistry B	128	4231-4242	2024	9-13-1006	10.1021/acs.jpcb.3c08189		
Journal article		ILL24LI1038	UK/China	FIGARO		Liao M., Gong H., Shen K., Wang Z., Li R., Campana M., Hu X., Lu J.R.		Unlocking roles of cationic and aromatic residues in peptide amphiphiles in treating drug-resistant gram-positive pathogens	Journal of Colloid and Interface Science	672	209-223	2024		10.1016/j.jcis.2024.05.188		
Journal article	OA	ILL24LI1023	China/France (not ILL)	SALSA		Liu M., Kouadri-David A., Ma G.		Residual stress relaxation in the laser welded structure after low-cycle fatigue and fatigue life: Numerical analysis and neutron diffraction experiment	Coatings	14	281-1-181-19	2024		10.3390/coatings14030281		
Journal article	OA	ILL24MA1009	Germany	IN6		Majumdar A., Müller M., Busch S.		Computation of X-ray and neutron scattering patterns to benchmark atomistic simulations against experiments	International Journal of Molecular Sciences	25	1547-1-1547-27	2024		10.3390/ijms25031547		
Journal article	OA	ILL24MA1025	Czech Republic/France (not ILL)	D4C	Biology	Mason P.E., Martinek T., Fabian B., Vazdar M., Jungwirth P., Tichacek O., Duboue-Dijon E., Martinez-Seara H.		Hydration of biologically relevant tetramethylammonium cation by neutron scattering and molecular dynamics	Physical Chemistry Chemical Physics	26	3208-3218	2024	8-03-844	10.1039/D3CP05449G		
Journal article		ILL24ME1001	Germany	D22		Menold P., Strey R., Roitsch S., Preisig N., Stubenrauch C.		Transition from a sponge-like to an onion-like nanostructure in the L3 phase ? Part I	Journal of Colloid and Interface Science	653	1743-1752	2024		10.1016/j.jcis.2023.09.194		
Journal article		ILL24NI1052	Germany/France (not ILL)	D1B		Nimoh H., Arévalo-López Á.M., Meier Q.N., Minaud C., Huvé M., Capet F., Cano A., Glaum R., Mentré O.		Antipolar 2D metallicity with tunable valence Wx+ (5 ? x ? 5.6) in the layered monophosphate tungsten bronzes [Ba(PO4)2]WmO3m?3	Journal of the American Chemical Society	146	23955-23962	2024		10.1021/jacs.4c07022		
Journal article		ILL24PA1012	Germany/USA			Papadakis C.M., Niebuur B.J., Schulte A.		Thermoresponsive polymers under pressure with a focus on poly(N-isopropylacrylamide) (PNIPAM)	Langmuir	40	1-20	2024		10.1021/acs.langmuir.3c02398		
Journal article		ILL24PA1047	France (not ILL)/Germany/Sweden	D1B		Paul-Boncour V., Shtender V., Provost K., Phejar M., Cuevas F., Skourski Y., Isnard O.		Origin of the metamagnetic transitions in Y0.9Tb0.1Fe2D4.3	Journal of Solid State Chemistry	338	124898-1-124898-9	2024		10.1016/j.jssc.2024.124898		
Thesis	OA	ILL24SC1045	Austria	PF1B	Nuclear and Particle Physics	Schilberg J.		Characterization of silicon photomultipliers for the PERC experiment						10.34726/hss.2024.119682		
Journal article		ILL24ST1049	Czech Republic	CYCLOPS		Stasko D., Vlásková K., Vojtasová D., Hájek F., Král P., Colman R.H., Klicpera M.		The synthesis of the rare earth A2Zr2O7 single crystals by simplified laser-heated floating hot zone and pedestal methods	Materials Today Chemistry	39	102153-1-102153-8	2024		10.1016/j.mtchem.2024.102153		
Journal article	OA	ILL24ST1030	Germany/Sweden	SuperADAM		Stendahl S., Ghafoor N., Schwartzkopf M., Zubayer A., Birch J., Eriksson F.		Morphology of buried interfaces in ion-assisted magnetron sputter-deposited 11B4C-containing Ni/Ti multilayer neutron optics investigated by gazing-incidence small-angle scattering	ACS Applied Materials & Interfaces	16	22665-22675	2024		10.1021/acsami.4c01457		
Journal article	OA	ILL24ST1011	UK	D33	Soft Matter	Stevens M.C., Taylor N.M., Guo X., Hussain H., Mahmoudi N., Cattoz B.N., Leung A.H.M., Dowding P.J., Vincent B., Briscoe W.H.		Diblock bottlebrush polymer in a non-polar medium: Self-assembly, surface forces, and superlubricity	Journal of Colloid and Interface Science	658	639-647	2024	9-10-1639	10.1016/j.jcis.2023.12.056		
Thesis	OA	ILL24SV1051	Czech Republic	IN12		Sviták D.		Study of spin-waves in the triangular lattice antiferromagnetic systems				2024				
Journal article		ILL24TH1044	USA	D22		Thomas G.M., Wu Y., Leite W., Pingali S.V., Weiss K.L., Grant A.J., Diggs M.W., Schmidt-Krey I., Gutishvili G., Gumbart J.C., Urban V.S., Lieberman R.L.		SANS reveals lipid-dependent oligomerization of an intramembrane aspartyl protease from H. volcanii	Biophysical Journal	123	1846-1856	2024		10.1016/j.bpj.2024.05.029		
Journal article		ILL24TO1035	Austria/USA	VIVALDI		Toomey R., Wang L., Heider E.C., Hartman J.D., Nichols A.J., Myles D.A.A., Gardberg A.S., McIntyre G.J., Zeller M., Mehta M.A., Harper J.K.		NMR-guided refinement of crystal structures using 15N chemical shift tensors	CrystEngComm	26	3289-3302	2024		10.1039/D4CE00237G		
Journal article		ILL24VE1036	Germany	FIGARO	Soft Matter	Venzmer J.		Interfacial properties of (super)spreading trisiloxane surfactants	Current Opinion in Colloid & Interface Science	72	101807-1-101807-7	2024	9-10-1740	10.1016/j.cocis.2024.101807		
Journal article	OA	ILL24VI1008	Sweden	D50/NeXT		Vieira Lima F., Hall S., Engqvist J., Tudisco E., Woracek R.		A novel testing system for hydromechanical investigation of rock materials in neutron and X-ray imaging instruments	International Journal of Rock Mechanics and Mining Sciences	174	105647-1-105647-13	2024		10.1016/j.ijrmms.2024.105647		
Journal article		ILL24WU1029	China	D22		Wu L.F., Mao L.F., Wang Z.		Effective entanglement and constraint release in deformed polymer melts	Macromolecules	57	3202-3211	2024		10.1021/acs.macromol.4c00204		
Journal article	OA	ILL24YU1043	China/Germany/UK	D20		Yuan Y., Yang M., Klos S.D., Attfield J.P.		A New family of high oxidation state antiperovskite nitrides: La3MN5 (M=Cr, Mn and Mo)	Angewandte Chemie International Edition	63	e202405498-1-e202405498-6	2024		10.1002/anie.202405498		
Journal article	OA	ILL24ZA1002	Italy	IN1/IN5		Zanatta M., Orecchini A., Sacchetti F., Petrillo C.		Disclosing the nature of the collective THz dynamics in hydrogen bonded liquids	Journal of Molecular Liquids	393	123550-1-123550-7	2024		10.1016/j.molliq.2023.123550		
Journal article	OA	ILL23AS1088	Denmark/Spain	D1B/D2B	Crystallography and Chemistry	Asres N.E., Etxebarria N., Monterrubio I., Saurel D., Elkjaer C.F., Casas-Cabanas M., Reynaud M., Fehse M., del Amo J.M.L.		Investigating structural properties and reaction mechanism of non-stoichiometric spinel LNMO via solid state NMR	Journal of Materials Chemistry A	11	25612-25625	2023	CRG-2789-2020, 5-23-751, EASY1082	10.1039/D3TA04649D		
Journal article		ILL23BA1075	France (ILL)/France (not ILL)/Germany/India	IN12	Magnetic Structures	Balédent V., Vaunat A., Petit S., Nataf L., Chattopadhyay S., Raymond S., Foury-Leylekian P.		Electronic ground-state hysteresis under magnetic field in GdMn2O5	Physical Review B	108	104419-1-104419-8	2023	4-01-1700, CRG-2839	10.1103/PhysRevB.108.104419		
Thesis		ILL23BE1043	Germany	IN12	Spectroscopy in Solid State Physics and Chemistry	Beddrich L.		Consequences of lattice dimensionality in solid state magnetism - 
An investigation using high resolution neutron scattering and magnetometry				2023				
Journal article		ILL23BU1006	Germany		Biology	Buchholz C., Reichart L.F., Surfaro F., Maier R., Zhang F., Gerlach A., Schreiber F.		Kinetics of HSA crystallization and its relationship with the phase diagram	Journal of Crystal Growth	603	126959-1-126959-7	2023		10.1016/j.jcrysgro.2022.126959		
Journal article		ILL23CH1024	France (ILL)	D22/D33	Soft Matter	Chazapi I., Diat O., Bauduin P.		Aqueous solubilization of hydrophobic compounds by inorganic nano-ions: An unconventional mechanism	Journal of Colloid and Interface Science	638	561-568	2023	9-10-1730	10.1016/j.jcis.2023.01.115		
Journal article		ILL23CO1058	France (not ILL)	RICOCHET	Nuclear and Particle Physics	Colas J., Billard J., Ferriol S., Gascon J., Salagnac T.		Development of data processing and analysis pipeline for the Ricochet experiment	Journal of Low Temperature Physics	211	310-319	2023		10.1007/s10909-022-02907-5		
Journal article	OA	ILL23CO1045	UK	D1B/D2B	Magnetic Structures	Coomer F.C., Mutch H.M., Mustonen O., Pughe C., Cussen S.A., Ramos S., Hillier A.D., Cussen E.J.		Complex magnetic ordering behavior in the frustrated perovskite Ba2MnMoO6	APL Materials	11	051111-1-051111-9	2023		10.1063/5.0144719		
Thesis		ILL23BE1076	Finland		Nuclear and Particle Physics	Córdoba A.B.		Development and simulations of neutron optics for an in-beam ultra-cold neutron (UCN) source								
Journal article		ILL23DA1003	France (not ILL)	D1B	Crystallography and Chemistry	Darie C., Bordet P., Viaud M., Guillot-Deudon C., Deniard P., Gautron E., Colin C., Porcher F., Berlanda G., Bert F., Mendels P., Payen C.		Two new cubic perovskite oxides Ba3CoSb2O9 and Ba2SrCoSb2O9: Syntheses, crystal structures and magnetic properties	Journal of Solid State Chemistry	317	123701-1-123701-8	2023		10.1016/j.jssc.2022.123701		
Journal article		ILL23DA1078	Japan/USA/Germany	IN4	Magnetic Structures	Das P., Kreyssig A., Tucker G.S., Podlesnyak A., Ye F., Matsuda M., Kong T., Bud'ko S.L., Canfield P.C., Flint R., Orth P.P., Yamada T., McQueeney R.J., Goldman A.I.		Short-range magnetic correlations in quasicrystalline i-Tb-Cd	Physical Review B	108	134421-1-134421-15	2023		10.1103/PhysRevB.108.134421		
Journal article		ILL23DE1084	South Africa/UK	SALSA	Applied Physics, Instrumentation and Techniques	de Klerk J.V., James M.N., Hattingh D.G., Bernard D.		A comparison of induction heating and ceramic pads for localised post-weld heat treatment of friction taper hydro-pillar welds in thick-walled steam pipe	International Journal of Pressure Vessels and Piping	206	105082-1-105082-12	2023	1-02-128	10.1016/j.ijpvp.2023.105082		
Journal article		ILL23DE1004	Germany/France (ILL)/Italy/Norway	D1B/D2B	Crystallography and Chemistry	Dematteis E.M., Barale J., Capurso G., Deledda S., Sørby M.H., Cuevas F., Latroche M., Baricco M.		In-situ neutron diffraction during reversible deuterium loading in Ti-rich and Mn-substituted Ti(Fe,Mn)0.90 alloys	Journal of Alloys and Compounds	935	168150-1-168150-12	2023	5-22-771	10.1016/j.jallcom.2022.168150		
Thesis	OA	ILL23DE1024	UK	D20	Magnetic Structures	Deng S.		Emergent critical phases in strongly correlated low-dimensional magnetic systems				2023	5-31-2847	10.17863/CAM.106221		
Journal article	OA	ILL23DI1042	Germany/Italy/The Netherlands/France (not ILL)	D11	Soft Matter	Di Lorenzo F., Nicolardi S., Marchetti R., Vanacore A., Gallucci N., Duda K., Nieto Fabregat F., Nguyen H.N.A., Gully D., Saenz J., Giraud E., Paduano L., Molinaro A., D'Errico G., Silipo A.		Expanding knowledge of methylotrophic capacity: Structure and properties of the rough-type lipopolysaccharide from Methylobacterium extorquens and its role on membrane resistance to methanol	JACS Au	3	929-942	2023		10.1021/jacsau.3c00025		
Journal article		ILL23DO1001	France (not ILL)	D1B	Crystallography and Chemistry	Dottor M., Crivello J.C., Laversenne L., Joubert J.M.		Experimental determination of the H-Hf phase diagram using in situ neutron diffraction	Journal of Alloys and Compounds	937	168353-1-168353-9	2023		10.1016/j.jallcom.2022.168353		
Journal article		ILL23DR1092			Applied Physics, Instrumentation and Techniques	Draper E.R.		Electrochemical cell for neutron scattering	Nature Reviews Chemistry	7	667	2023		10.1038/s41570-023-00544-4		
Journal article	OA	ILL23ER1015	UK/Norway	SALSA	Applied Physics, Instrumentation and Techniques	Ermakova A., Braithwaite J., Razavi J., Ganguly S., Berto F., Mehmanparast A.		The influence of laser shock peening on corrosion-fatigue behaviour of wire arc additively manufactured components	Surface & Coatings Technology	456	129262-1-129262-10	2023	1-02-292	10.1016/j.surfcoat.2023.129262		
Journal article	OA	ILL23FA1002	UK	D33	Biology	Fa K., Liu H., Li Z., Gong H., Petkov J., Lu J.R.		Acyl chain length tuning improves antimicrobial potency and biocompatibility of short designed lipopeptides	Journal of Colloid and Interface Science	630	911-923	2023		10.1016/j.jcis.2022.10.114		
Thesis	OA	ILL23FA1072	Sweden	SuperADAM	Materials Science and Engineering	Falk M.		Improving polarizing neutron optics by introducing 11B4C as barrier layers								
Journal article	OA	ILL23FA1037	UK/France (not ILL)	D23	Magnetic Structures	Faure Q., Dashwood C.D., Colin C.V., Johnson R.D., Ressouche E., Stenning G.B.G., Spratt J., McMorrow D.F., Perry R.S.		Magnetic structure and field dependence of the cycloid phase mediating the spin reorientation transition in Ca3Ru2O7	Physical Review Research	5	013040-1-013040-12	2023		10.1103/PhysRevResearch.5.013040		
Article from Conference in a Journal	OA	ILL23FR1077	France (not ILL)/Czech Republic/USA	IN8	Applied Physics, Instrumentation and Techniques	Freund A.K., Krencisz D., Crosby M., Chen C., Kozak B., Mikula P., Farkas G.		Recent studies of highly oriented pyrolytic graphite and hybrid graphite-silicon monochromator systems	EPJ Web of Conferences	286	03012-1-03012-6	2023		10.1051/epjconf/202328603012		
Thesis	OA	ILL23FR1047	USA	D20	Applied Physics, Instrumentation and Techniques	Frothingham M.G.		Crystal to crustal scale seismic anisotropy: Implications for continental tectonism					1?02?232			
Journal article	OA	ILL23FR1034	USA/France (not ILL)/Italy	D20	Materials Science and Engineering	Frothingham M.G., Mahan K.H., Schulte-Pelkum V., Goncalves P., Zucali M.		Confronting solid?state shear bias: Magmatic fabric contribution to crustal seismic anisotropy	Geophysical Research Letters	50	e2022GL102399-1-e2022GL102399-10	2023		10.1029/2022GL102399		
Journal article	OA	ILL23GA1046	Spain/UK/Belgium	D17	Soft Matter	Gallastegui A., Foglia F., McMillan P.F., Casado N., Gueguen A., Mecerreyes D.		Poly(diallylmethylammonium) proton conducting membranes with high ionic conductivity at intermediate temperatures	Polymer	280	126064-1-126064-11	2023	9-11-2016	10.1016/j.polymer.2023.126064		
Thesis	OA	ILL23GI1079	Sweden	D17	Biology	Gilbert J.		Unravelling the structure and dynamics of lipid nanoparticles for biomolecule delivery								
Journal article	OA	ILL23GO1022	Switzerland/Spain	D2B	Crystallography and Chemistry	Gomez-Toledo M., López-Paz S.A., García-Martín S., Arroyo-de Dompablo M.E.		Metal-to-insulating transition in the perovskite system YSr2Cu2FeO8-? (0 < ? < 1) modeled by DFT methods	Inorganic Chemistry	62	3445-3456	2023	5-23-705	10.1021/acs.inorgchem.2c03475		
Journal article	OA	ILL23HI1061	Australia/Germany	D20/D2B	Materials Science and Engineering	Hinterstein M., Lemos da Silva L., Knapp M., Schoekel A., Etter M., Studer A.		In situ neutron diffraction for analysing complex coarse-grained functional materials	Journal of Applied Crystallography	56	1242-1251	2023		10.1107/S1600576723005940		
Journal article	OA	ILL23HO1021	Germany/France (not ILL)	D11	Soft Matter	Hohenschutz M., Bauduin P., Lopez C.G., Förster B., Richtering W.		Superchaotropic nano-ion binding as a gelation motif in cellulose ether solutions	Angewandte Chemie International Edition	62	e202210208-1-e202210208-7	2023		10.1002/anie.202210208		
Journal article		ILL23HO1041	France (not ILL)	D22/D33	Crystallography and Chemistry	Hohenschutz M., Dufrêche J.F., Diat O., Bauduin P.		When ions defy electrostatics: The case of superchaotropic nanoion adsorption	Journal of Physical Chemistry Letters	14	3602-3608	2023	LTP-9-9	10.1021/acs.jpclett.3c00095		
Journal article	OA	ILL23HO1060	Austria	D33	Crystallography and Chemistry	Honaramooz M.T., Morak R., Pogatscher S., Fritz-Popovski G., Kremmer T.M., Meisel T.C., Osterreicher J.A., Arnoldt A., Paris O.		Characterization of Zr-containing dispersoids in Al-Zn-Mg-Cu alloys by small-angle scattering	Materials	16	1213-1-1213-13	2023		10.3390/ma16031213		
Journal article	OA	ILL23HO1056	USA/Canada/India	STEREO	Nuclear and Particle Physics	Hostert M., McKeen D., Pospelov M., Raj N.		Dark sectors in neutron-shining-through-a-wall and nuclear-absorption signals	Physical Review D	107	075034-1-075034-15	2023		10.1103/PhysRevD.107.075034		
Journal article	OA	ILL23HU1083	China/UK		Soft Matter	Hu X., Liao M., Ding K., Wang J., Xu H., Tao K., Zhou F., Lu J.R.		Neutron reflection and scattering in characterising peptide assemblies	Advances in Colloid and Interface Science	322	103033-1-103033-19	2023		10.1016/j.cis.2023.103033		
Journal article		ILL23IV1051	Slovakia/Russia/Germany	D16	Biology	Ivankov O., Kondela T., Dushanov E.B., Ermakova E.V., Murugova T.N., Soloviov D., Kuklin A.I., Kucerka N.		Cholesterol and melatonin regulated membrane fluidity does not affect the membrane breakage triggered by amyloid-beta peptide	Biophysical Chemistry	298	107023-1-107023-8	2023	8-02-758	10.1016/j.bpc.2023.107023		
Journal article		ILL23JA1007	France (ILL)/France (not ILL)	D11	Applied Physics, Instrumentation and Techniques	Jacquet L., Meyer N., Libert M., De Geuser F., Braccini M., Estevez R., Mantel M.		Study of cleavage fracture in ferritic stainless steels part I: Development and characterization of model microstructures	Materials Science and Engineering A	864	144534-1-144534-15	2023	1-01-177	10.1016/j.msea.2022.144534		
Thesis	OA	ILL23JA1048	UK		Applied Physics, Instrumentation and Techniques	Jadeja K.M.		Development and testing of a facility for the trapping and cooling of isomers								
Thesis		ILL24KN1015	Germany	FIPPS		Knafla J.L.L.		Improving and developing analysis methods and investigation of the prolate-to-oblate shape phase transition in 193Os				2023				
Journal article		ILL23KU1011	India/France (not ILL)	D1B	Magnetic Structures	Kurian M.M., Das R.R., Devan C.V., Varma M.R., Colin C.V., Santhosh P.N.		Exchange bias effect and inhomogeneous magnetism in 6H Ba3CoFeRuO9: Role of structural site disorder	Journal of Magnetism and Magnetic Materials	568	170372-1-170372-11	2023	CRG-2708	10.1016/j.jmmm.2023.170372		
Journal article		ILL23LE1005	Germany/France (ILL)/Egypt	D11	Soft Matter	Lee S., Nasr S., Rasheed S., Liu Y., Hartwig O., Kaya C., Boese A., Koch M., Herrmann J., Müller R., Loretz B., Buhler E., Hirsch A.K.H., Lehr C.M.		Proteoid biodynamers for safe mRNA transfection via pH-responsive nanorods enabling endosomal escape	Journal of Controlled Release	353	915-929	2023	9-11-1845	10.1016/j.jconrel.2022.12.018		
Journal article	OA	ILL23LI1062	Denmark/Sweden/Australia/Belgium/France (ILL)	SuperADAM	Soft Matter	Li S., Pilkington G.A., Mehler F., Hammond O.S., Boudier A., Vorobiev A., Glavatskih S., Rutland M.W.		Tuneable interphase transitions in ionic liquid/carrier systems via voltage control	Journal of Colloid and Interface Science	652	1240-1249	2023	9-13-1006	10.1016/j.jcis.2023.08.111		
Journal article	OA	ILL23LI1014	China/UK	FIGARO	Soft Matter	Liao M., Gong H., Quan X., Wang Z., Hu X., Chen Z., Li Z., Liu H., Zhang L., McBain A.J., Waigh T.A., Zhou J., Lu J.R.		Intramembrane nanoaggregates of antimicrobial peptides play a vital role in bacterial killing	Small	19	2204428-1-2204428-14	2023	9-13-730	10.1002/smll.202204428		
Journal article	OA	ILL23LU1090	USA/Germany	FIGARO	Nuclear and Particle Physics	Lu H., Holderer O., Ioffe A., Pasini S., Pistel P., Salhi Z., Goodson B.M., Snow W.M., Babcock E.		Precise approach to determining the 3He neutron incoherent scattering length bi	Physical Review C	108	L031001-1-L031001-6	2023		10.1103/PhysRevC.108.L031001		
Thesis	OA	ILL23MA1050	UK	D11	Soft Matter	Marshall L.J.		Preparation of multicomponent systems as a means of controlling the properties of peptide-based low molecular weight hydrogels						10.5525/gla.thesis.83655		
Thesis	OA	ILL24ME1019	France (not ILL)	D11/FIGARO		Meyer G.		Caractérisation de systèmes biphasiques aqueux pour le recyclage des métaux								
Thesis	OA	ILL23MI1018	Australia	IN15/WASP/D11	Soft Matter	Miao S.		Structure, dynamics, and self-assembly in ionic liquids				2023				
Journal article	OA	ILL23MI1071	UK	FIGARO	Soft Matter	Milsom A., Squires A.M., Ward A.D., Pfrang C.		Molecular self-organization in surfactant atmospheric aerosol proxies	Accounts of Chemical Research	56	2555-2568	2023		10.1021/acs.accounts.3c00194		
Journal article	OA	ILL23MO1053	Germany		Soft Matter	Monkenbusch M., Kruteva M., Richter D.		Dynamic structure factors of polymer melts as observed by neutron spin echo: Direct comparison and reevaluation	Journal of Chemical Physics	159	034902-1-034902-18	2023	TEST-2745	10.1063/5.0150811		
Thesis	OA	ILL24MO1020	UK	D11/D33		Moody G.		Reverse cylindrical micelles: Potential lubricants for CO2 emission reduction								
Thesis	OA	ILL23NO1089	Sweden	SuperADAM	Materials Science and Engineering	Nordenström A.		Properties and applications of materials based on graphite oxide								
Thesis	OA	ILL23OR1073	Canada	FIPPS	Nuclear and Particle Physics	Ortner K.A.		Nuclear structure of 118Sn studied through beta decay of 118In and thermal neutron capture of 117Sn(n, ?)								
Thesis		ILL24PA1016	Canada	FIPPS	Nuclear and Particle Physics	Pannu S.P.S.		Searching for signatures of shape coexistence in 100Ru				2023				
