"sep=	"
Document type	Open Access	Number	Authors countries	Authors	Title	Journal title	Volume	Pages	Year	Beamline(s)	Facility used	Proposal number	DOI	DOI added	WoS Number
Journal article		ESRF24HU7044	UK/Canada/Ecuador	Hutchings M.T., Withers P.J., Holden T.M., Lorentzen T.	Applications to Problems in Materials Science and Engineering										
Journal article		ESRF19IR7075	USA	Irving T.C., Craig R.	Getting into the thick (and thin) of it	Journal of General Physiology	151	610-613	2019				10.1085/jgp.201812307		WOS:000466979900002
Journal article		ESRF19JA7008	USA	Jahrman E.P., Holden W.M., Ditter A.S., Kozimor S.A., Kihara S.L., Seidler G.T.	Vacuum formed temporary spherically and toroidally bent crystal analyzers for x-ray absorption and x-ray emission spectroscopy	Review of Scientific Instruments	90	013106-1-013106-8	2019				10.1063/1.5057231		
Article from Conference in a Book		ESRF19JA7032	France (not ESRF)/Hawaii/Hungary/USA	Jastrzeski L., Duru R., Le-Cunff D., Cannac M., Joblot S., Mica I., Polignano M.L., Galbiati A., Monge P., Roffarello, Nadudvari G., Kiss Z., Lajtos I., Pongracz A., Molnár G., Nagy M., Dudas L., Basa P., Greenwood B., Gambino J.	Review of applications of Defect Photoluminescence Imaging (DPLI) during IC processing								10.23919/IWJT.2019.8802893		
Journal article	OA	ESRF19JI7047	China	Jiang H., Yan S., Tian N., Liang D., Dong Z., Zheng Y.	Extraction of medium-spatial-frequency interfacial waviness and inner structure from X-ray multilayers using the speckle scanning technique	Optical Materials Express	9	2878-2891	2019				10.1364/OME.9.002878		
Journal article		ESRF19KA7074	USA	Karpov D., Fohtung E.	Bragg coherent diffractive imaging of strain at the nanoscale	Journal of Applied Physics	125	121101-1-121101-13	2019				10.1063/1.5054294		WOS:000462884600002
Journal article		ESRF19KE7097	Turkey	Ketenoglu D.	Synchrotron radiation: From storage ring to a hard X-ray beamline	Uludag University Journal of The Faculty of Engineering	24	75-88	2019		PETRA III		10.17482/uumfd.534761		
Journal article		ESRF19KH7065	Turkey/Belarus	Kholmetskii A.L., Yarman T., Yarman O., Arik M.	Concerning Mössbauer experiments in a rotating system and their physical interpretation	Annals of Physics	411	167912-1-167912-7	2019				10.1016/j.aop.2019.167912		
Journal article		ESRF19KI7052	USA	Kiani D., Sourav S., Baltrusaitis J., Wachs I.E.	Oxidative coupling of methane (OCM) by SiO2-supported tungsten oxide catalysts promoted with Mn and Na	ACS Catalysis	9	5912-5928	2019				10.1021/acscatal.9b01585		WOS:000474812400013
Journal article		ESRF19KI7009	Korea/USA	Kim J., Jang G., Yoon M., Oh B.H., Lee J., Ko J., Parc Y., Ha T., Kim D.G., Kim S., Shin S.	Injection scheme with deflecting cavity for a fourth-generation storage ring	Physical Review Accelerators and Beams	22	011601-1-011601-7	2019				10.1103/PhysRevAccelBeams.22.011601		
Journal article		ESRF19KU7011	Germany/Austria/China	Kulow A., Witte S., Beyer S., Buzanich A.G., Radtke M., Reinholz U., Riesemeier H., Streli C.	A new experimental setup for time- and laterally-resolved X-ray absorption fine structure spectroscopy in a ‘single shot’	Journal of Analytical Atomic Spectrometry	34	239-246	2019		BESSY (Germany)		10.1039/C8JA00313K		
Journal article		ESRF19LE7058	Sweden	Lempart M., Blad B., Adrian G., Bäck S., Knöös T., Ceberg C., Petersson K.	Modifying a clinical linear accelerator for delivery of ultra-high dose rate irradiation	Radiotherapy and Oncology	139	40-45	2019				10.1016/j.radonc.2019.01.031		
Journal article		ESRF19LE7104	Australia	Lewis D.	Fossil researchers are putting aside trowels and brushes in place ultra-high-tech synchrotrons	Cosmos	84	30-36	2019						x
Journal article		ESRF19LI7055	Russia	Liakin D.A., Barabin S.V., Orlov A.Y., Saratovskikh M.S., Kulevoy T.V.	Electrodes for beam position monitors for fourth generation synchrotron radiation source	Journal of Surface Investigation. X-ray, Synchrotron and Neutron Techniques	13	511-514	2019				10.1134/s1027451019030261		WOS:000472936200025
Journal article		ESRF19LI7057	China/USA/The Netherlands	Liu D., Shadike Z., Lin R., Qian K., Li H., Li K., Wang S.H., Yu Q., Liu M., Ganapathy S., Qin X., Yang Q.H., Wagemaker M., Kang F., Yang X.Q., Li B.	Review of recent development of in situ/operando characterization techniques for lithium battery research	Advanced Materials	31	1806620-1-1806620-57	2019				10.1002/adma.201806620		WOS:000477972300001
Journal article		ESRF19MA7076	USA	Ma W.K., Irving T.C.	X-ray diffraction of intact murine skeletal muscle as a tool for studying the structural basis of muscle disease	Journal of Visualized Experiments	149	e59559-1-e59559-6	2019		APS (Argonne)		10.3791/59559		WOS:000478806500017
Journal article		ESRF19MA7103	Italy/China	Maggi V., Xiao C., Marcelli A.	Condensed matter researches in cryospheric science	Condensed Matter	4	68-1-68-5	2019				10.3390/condmat4030068		
Article from Conference in a Book		ESRF19MA7006	France (not ESRF)/Sweden	Marcouillé O., Marteau F., Tripathi S., Thiel A., Tarawneh H., Tavakoli K., Marlats J.L., Mary A., Valléau M., Vétéran J., Chapuis L., Berteaud P., El Ajjouri T., Brunelle P., Herbeaux C., Béchu N., Lestrade A., Itié J.P., Nadji A., Guignot N., Couprie M.E.	Production of high energy photons with in vacuum wigglers: From SOLEIL wiggler to MAXIV wiggler	AIP Conference Proceedings	2054	030027-1-030027-4	2019		MAX-Lab (Lund)		10.1063/1.5084590		
Journal article		ESRF19MA7017	Spain/UK/China/France (not ESRF)	Martinón-Torres M., Bermúdez de Castro J.M., Martínez de Pinillos M., Modesto-Mata M., Xing S., Martín-Francés L., García-Campos C., Wu X., Liu W.T.	New permanent teeth from Gran Dolina-TD6 (Sierra de Atapuerca). The bearing of Homo antecessor on the evolutionary scenario of Early and Middle Pleistocene Europe	Journal of Human Evolution	127	93-117	2019				10.1016/j.jhevol.2018.12.001		
Journal article	OA	ESRF22MA7023	USA	Martín-García J.M., Zhu L., Mendez D., Lee M.Y., Chun E., Li C., Hu H., Subramanian G., Kissick D., Ogata C., Henning R., Ishchenko A., Dobson Z., Zhang S., Weierstall U., Spence J.C.H., Fromme P., Zatsepin N.A., Fischetti R.F., Cherezov V., Liu W.	High-viscosity injector-based pink-beam serial crystallography of microcrystals at a synchrotron radiation source	IUCrJ	6	412-425	2019		APS (Argonne)		10.1107/S205225251900263X		
Journal article		ESRF19MA7044	Japan	Masuda T., Kondo T.	New sights into the electrochemical interface provided by in situ X-ray absorption fine structure and surface X-ray scattering	Current Opinion in Electrochemistry	14	81-88	2019				10.1016/j.coelec.2018.12.012		
Journal article		ESRF19MC7073	Australia	McAllum E.J., Hare D.J.	From niche methods to necessary tools: The growing importance of analytical atomic spectrometry in metal imaging in neuroscience	Spectrochimica Acta B	156	20-32	2019				10.1016/j.sab.2019.04.009		
Journal article		ESRF19ME7019	Argentina/Brazil	Mera M.F., Rubio M., Pérez C.A., Cazón S., Merlo M., Muñoz S.E.	SR induced micro-XRF for studying the spatial distribution of Pb in plants used for soil phytoremediation	Radiation Physics and Chemistry	154	69-73	2019		LNLS (Campinas SP)		10.1016/j.radphyschem.2018.05.001		
Journal article	OA	ESRF19MO7059	UK	Morris R.H., Dye E.R., Axford D., Newton M.I., Beale J.H., Docker P.T.	Non-contact universal sample presentation for room temperature macromolecular crystallography using acoustic levitation	Scientific Reports	9	12431-1-12431-10	2019		DIAMOND (Didcot)		10.1038/s41598-019-48612-4		WOS:000482709400042
Article from Conference in a Journal		ESRF19MU7082	Switzerland	Müller B.	Recent trends in high-resolution hard x-ray tomography	Proceedings of SPIE	11113	1111302-1-1111302-15	2019				10.1117/12.2530085		
Book chapter		ESRF19OB7026	Russia	Obodovskiy I.	Accelerators								10.1016/B978-0-444-63979-0.00018-5		
Journal article		ESRF19PA7001		Pacchioni G.	An upgrade to a bright future	Nature Reviews Physics	1	100-101	2019		PETRA III		10.1038/s42254-019-0019-5		
Journal article		ESRF19PE7105	Russia	Peters G.S., Zakharchenko O.A., Konarev P.V., Karmazikov Y.V., Smirnov M.A., Zabelin A.V., Mukhamedzhanov E.H., Veligzhanin A.A., Blagov A.E., Kovalchuk M.V.	The small-angle X-ray scattering beamline BioMUR at the Kurchatov synchrotron radiation source	Nuclear Instruments and Methods in Physics Research A	945	162616-1-162616-7	2019				10.1016/j.nima.2019.162616		
Journal article		ESRF19PO7040	France (not ESRF)	Poirier J.P.	Preface. Some remarks on the evolution of mineral physics over the past 40 years	Comptes Rendus Geoscience	351	67-70	2019				10.1016/j.crte.2018.04.001		
Article from Conference in a Journal		ESRF19PO7064	USA/Austria	Poths P., Chinea-Cano E., Dzigal N., Darby I.G., Osán J., Padilla-Alvarez R.	Experimental assessment of effectively probed volume in confocal XRF spectrometry using microparticles	X-Ray Spectrometry	48	553-560	2019				10.1002/xrs.3045		WOS:000483574400031
Journal article		ESRF19QI7101	Germany/China/France (not ESRF)	Qi X., Liu L., Riberi-Béridot T., Mangelinck-Noël N., Miller W.	Simulation of grain evolution in solidification of silicon on meso-scopic scale	Computational Materials Science	159	432-439	2019		ESRF (Grenoble)	IN-861	10.1016/j.commatsci.2018.12.015		WOS:000457856900045
Journal article		ESRF19RA7063	UK	Ramakrishnan V., Alsari M.	The ribosome under synchrotron light	Scientific Video Protocols		1-5	2019				10.32386/scivpro.000014		
Journal article		ESRF19RO7035	Germany	Röhlsberger R., Schroer C., Wanzenberg R., Agapov I.	Die Komplexität der Natur entschlüsseln	Physik in Unserer Zeit	50	82-89	2019				10.1002/piuz.201901526		
Journal article		ESRF19SA7030	USA/Korea	Sajaev V., Lindberg R., Borland M., Shin S.	Simulations and measurements of the impact of collective effects on dynamic aperture	Physical Review Accelerators and Beams	22	032802-1-032802-9	2019		APS (Argonne)		10.1103/PhysRevAccelBeams.22.032802		WOS:000461924400004
Journal article	OA	ESRF19SA7050	Japan	Sakaki A., Funato M., Miyano M., Okazaki T., Kawakami Y.	Impact of of microscopic In fluctuations on the optical properties of InxGa1-xN blue light-emitting diodes assessed by low-energy X-ray fluorescence mapping using synchrotron radiation	Scientific Reports	9	3733-1-3733-8	2019		SPring-8 (Nishi Harima, Japan)		10.1038/s41598-019-39086-5		WOS:000460392200001
Journal article	OA	ESRF19SA7099	Denmark/UK	Sanchez-Weatherby J., Sandy J., Mikolajek H., Lobley C.M.C., Mazzorana M., Kelly J., Preece G., Littlewood R., Sørensen T.L.M.	VMXi: A fully automated, fully remote, high-flux in situ macromolecular crystallography beamline	Journal of Synchrotron Radiation	26	291-301	2019				10.1107/S1600577518015114		
Journal article		ESRF19SA7027	Norway/France (not ESRF)/Portugal	Sarre A., Stelter M., Rollo F., De Bonis S., Seck A., Hognon C., Ravanat J.L., Monari A., Dehez F., Moe E., Timmins J.	The three Endonuclease III variants of Deinococcus radiodurans possess distinct and complementary DNA repair activities	DNA Repair	78	45-59	2019				10.1016/j.dnarep.2019.03.014		
Journal article		ESRF19SH7051	Germany	Sharapa D.I., Doronkin D.E., Studt F., Grunwaldt J.D., Behrens S.	Moving frontiers in transition metal catalysis: Synthesis, characterization and modeling	Advanced Materials	31	1807381-1-1807381-11	2019				10.1002/adma.201807381		WOS:000474604700002
Journal article		ESRF19SH7080	Sweden/India/Australia	Sharma A., Berntsen P., Harimoorthy R., Appio R., Sjöhamn J., Järvå M., Björling A., Hammarin G., Westenhoff S., Brändén G., Neutze R.	A simple adaptation to a protein crystallography station to facilitate difference X-ray scattering studies	Journal of Applied Crystallography	52	378-386	2019		MAX-Lab (Lund)		10.1107/s1600576719001900		WOS:000463468600015
Journal article		ESRF19SH7054	USA	Shen Y.F., Maddali S., Menasche D., Bhattacharya A., Rohrer G.S., Suter R.M.	Importance of outliers: A three-dimensional study of coarsening in α-phase iron	Physical Review Materials	3	063611-1-063611-15	2019				10.1103/PhysRevMaterials.3.063611		WOS:000473317000002
Journal article		ESRF19SH7079	UK/USA/China	Shi X., Burdet N., Chen B., Xiong G., Streubel R., Harder R., Robinson I.K.	X-ray ptychography on low-dimensional hard-condensed matter materials	Applied Physics Reviews	6	011306-1-011306-15	2019				10.1063/1.5045131		WOS:000462883500006
Journal article		ESRF19SI7041	France (not ESRF)/Belgium	Sidqi Y., Thomas I., Frankhauser P., Retière N.	Comparing fractal indices of electric networks to roads and buildings: The case of Grenoble (France)	Physica A	531	121774-1-121774-13	2019				10.1016/j.physa.2019.121774		
Journal article		ESRF19SI7036	Denmark/Belgium	Sitsel A., De Raeymaecker J., Drachmann N.D., Derua R., Smaardijk S., Andersen J.L., Vandecaetsbeek I., Chen J.L., De Maeyer M., Waelkens E., Olesen C., Vangheluwe P., Nissen P.	Structures of the heart specific SERCA2a Ca2+-ATPase	EMBO Journal	38	e100020-1-e100020-17	2019		SLS (PSI) (Villigen)		10.15252/embj.2018100020		WOS:000460693900001
Journal article	OA	ESRF19SM7100	The Netherlands/France (not ESRF)/Germany/Canada	Smith A.L., Verleg M.N., Vlieland J., de Haas D., Ocadiz-Flores J.A., Martín P., Rothe J., Dardenne K., Salanne M., Gheribi A.E., Capelli E., van Eijck L., Konings R.J.M.	In situ high-temperature EXAFS measurements on radioactive and air-sensitive molten salt materials	Journal of Synchrotron Radiation	26	124-136	2019				10.1107/S160057751801648X		
Journal article		ESRF19SM7045	Australia	Smyth L.M.L., Day L.R., Woodford K., Rogers P.A.W., Crosbie J.C., Senthi S.	Identifying optimal clinical scenarios for synchrotron microbeam radiation therapy: A treatment planning study	Physica Medica	60	111-119	2019				10.1016/j.ejmp.2019.03.019		
Journal article		ESRF19ST7012	USA	Stanfield R.L.	Never too late for endothelin	Acta Crystallographica F	75	45-46	2019				10.1107/S2053230X18018101		
Article from Conference in a Book		ESRF19ST7003	Japan	Stellhorn J.R., Hosokawa S., Magome E.	Anomalous x-ray scattering experiments for disordered materials at the SAGA light source	AIP Conference Proceedings	2054	050012-1-050012-7	2019				10.1063/1.5084630		
Article from Conference in a Book		ESRF19SU7004	UK	Sutter J.P., Alianelli L.	Ideal cartesian oval lens shape for refocusing an already convergent beam	AIP Conference Proceedings	2054	030007-1-030007-6	2019				10.1063/1.5084570		
Journal article	OA	ESRF19SW7056	USA/Germany	Swanner E.D., Webb S.M., Kappler A.	Fate of cobalt and nickel in mackinawite during diagenetic pyrite formation	American Mineralogist	104	917-928	2019		SSRL (Stanford)		10.2138/am-2019-6834		WOS:000473027900001
Journal article		ESRF19SZ7106	Poland	Szymczak P., Kwiatkowski K., Jarosinski M., Kwiatkowski T., Osselin F.	Wormhole formation during acidizing of calcite-cemented fractures in gas-bearing shales	SPE Journal	24	795-810	2019				10.2118/191376-PA		
Journal article		ESRF19TA7107	UK/Ireland/Germany	Tanner B.K., Vijayaraghavan R.K., Roarty B., Danilewsky A.N., McNally P.J.	In-Operando X-ray diffraction imaging of thermal strains in fully packaged silicon devices	Microelectronics Reliability	99	232-238	2019		ESRF (Grenoble)		10.1016/j.microrel.2019.06.006		
Journal article		ESRF19TE7088	Italy/UK/Germany/USA/Australia/Belgium	Terzano R., Denecke M.A., Falkenberg G., Miller B., Paterson D., Janssens K.	Recent advances in analysis of trace elements in environmental samples by X-ray based techniques (IUPAC Technical Report)	Pure and Applied Chemistry	91	1029-1063	2019				10.1515/pac-2018-0605		WOS:000471262400011
Journal article		ESRF19TR7102	UK/Spain/France (not ESRF)	Treacy J.P.W., Hussain H., Torrelles X., Cabailh G., Bikondoa O., Nicklin C., Thornton G., Lindsay R.	Structure of a superhydrophilic surface: Wet chemically prepared rutile-TiO2(110)(1 x 1)	Journal of Physical Chemistry C	123	8463-8468	2019				10.1021/acs.jpcc.9b00245		WOS:000463844500093
Journal article		ESRF19VA7062	The Netherlands/Denmark	Vandivere A., Wadum J., van den Berg K.J., van Loon A., Girl Spotlight Res Team	From 'Vermeer Illuminated' to 'The Girl in the Spotlight': Approaches and methodologies for the scientific (re-)examination of Vermeer's Girl with a Pearl Earring	Heritage Science	7	66-1-66-14	2019				10.1186/s40494-019-0307-5		WOS:000483740600001
Journal article		ESRF19VA7060	Belgium/UK/Germany	Vanhoof C., Bacon J.R., Ellis A.T., Fittschen U.E.A., Vincze L.	2019 atomic spectrometry update - a review of advances in X-ray fluorescence spectrometry and its special applications	Journal of Analytical Atomic Spectrometry	34	1750-1767	2019				10.1039/c9ja90042j		WOS:000483699100001
Journal article	OA	ESRF19VE7072	France (not ESRF)	Verger L., Dargaud O., Cormier L.	Couleurs et émaux. Des décors de la Manufacture de Sèvres à la réactivité des pigments	Reflets de la Physique	63	26-29	2019				10.1051/refdp/201963026		
Journal article		ESRF19VI7086	France (not ESRF)	Viso M.	Mars sample receiving facility or facilities? That is the question	Life Sciences in Space Research	23	69-72	2019				10.1016/j.lssr.2019.06.004		
Book chapter		ESRF19VO7089	Slovenia/Thailand	Vogel-Mikus K., van Elteren J.T., Regvar M., Chaiprapa J., Jencic B., Arcon I., Kodre A., Kump P., Kavcic A., Kelemen M., Metarapi D., Necemer M., Vavpetic P., Pelicon P., Pongrac P.	Recent advances in 2D imaging of element distribution in plants by focused beam techniques								10.1007/978-3-030-19103-0_8		
Journal article		ESRF19VO7085	Switzerland/Germany/The Netherlands	Vozenin M.C., Baumann M., Coppes R.P., Bourhis J.	FLASH radiotherapy International Workshop	Radiotherapy and Oncology	139	1-3	2019				10.1016/j.radonc.2019.07.020		
Journal article		ESRF19WA7013	China	Wang Q., Sun B., Zhou H., Wang Z., Yu F., He J.	An integrated remote data collection system for macromolecular crystallography beamline at SSRF	Nuclear Instruments and Methods in Physics Research A	914	42-45	2019		SSRF (Shanghaï)		10.1016/j.nima.2018.10.167		
Article from Conference in a Book		ESRF19WA7002	Germany	Wanzenberg R., Agapov I., Brefeld W., Brinkmann R., Chae Y.C., Chao H.C., Keil J., Gavaldà X.N., Röhlsberger R., Schroer C.G., Tischer M., Weckert E.	Design status of the ultra-low emittance synchrotron facility PETRA IV	AIP Conference Proceedings	2054	030002-1-030002-9	2019		PETRA IV		10.1063/1.5084565		
Journal article		ESRF19WI7033	USA	Willey T.	New frontiers in experimentally observing detonation properties	Propellants Explosives Pyrotechnics	44	259-261	2019				10.1002/prep.201980331		WOS:000460332800001
Journal article		ESRF19WU7049	China	Wu Z., Zhao W., Li Z., Deng J., Hu Z., Li L.	A review of engine fuel injection studies using synchrotron radiation X-ray imaging	Automotive Innovation	2	79-92	2019				10.1007/s42154-019-00056-2		
Journal article		ESRF19XI7025	USA	Xie J., Wagner R., Demarteau M., Xia L., Adams B., Wang Z., Li X., Zhu R., Zhang L., Hu C., Katsoudas J., Ding Y., Shih Y., Smith T.A.	First experimental demonstration of time-resolved X-ray measurements with next-generation fast-timing MCP-PMT	Nuclear Instruments and Methods in Physics Research A	927	287-292	2019		APS (Argonne)		10.1016/j.nima.2019.02.057		
Journal article	OA	ESRF19YA7077	USA	Yan H., Shirato N., Zhu X.D., Rosenmann D., Tong X., Xu W., Petrovic C., Rose V., Nazaretski E.	X-ray assisted scanning tunneling microscopy and its applications for materials science: The first results on Cu doped ZrTe3	Crystals	9	588-1-588-12	2019		APS (Argonne)		10.3390/cryst9110588		WOS:000502270800043
Journal article		ESRF19YO7061	Japan	Yoshinaka F., Nakamura T., Takeuchi A., Uesugi M., Uesugi K.	Initiation and growth behaviour of small internal fatigue cracks in Ti-6Al-4V via synchrotron radiation microcomputed tomography	Fatigue & Fracture of Engineering Materials & Structures	42	2093-2105	2019		SPring-8 (Nishi Harima, Japan)		10.1111/ffe.13085		WOS:000479081900018
Journal article		ESRF19YU7039	USA	Yu T.T., Wang Y., Rivers M.L., Sutton S.R.	An upgraded and integrated large-volume high-pressure facility at the GeoSoilEnviroCARS bending magnet beamline of the Advanced Photon Source	Comptes Rendus Geoscience	351	269-279	2019		APS (Argonne)		10.1016/j.crte.2018.09.006		
Journal article		ESRF19ZH7018	China/USA	Zhang T., Huang X.	Numerical optimization of a low emittance lattice cell	Nuclear Instruments and Methods in Physics Research A	923	55-63	2019				10.1016/j.nima.2019.01.065		
Journal article		ESRF19ZH7048	China	Zhao C., Zhang Y., Wang C.C., Hou M., Li A.	Recent progress in instrumental techniques for architectural heritage materials	Heritage Science	7	36-1-36-50	2019				10.1186/s40494-019-0280-z		WOS:000471026300001
Journal article		ESRF19ZH7069	China	Zhao F.Z., Zhang B., Yan E.K., Sun B., Wang Z.J., He J.H., Yin D.C.	A guide to sample delivery systems for serial crystallography	FEBS Journal	286	4402-4417	2019				10.1111/febs.15099		WOS:000494555000001
Journal article		ESRF19ZH7081	USA/Qatar	Zhong Z., Hasnah M., Broadbent A., Dooryhée E., Lucas M.	Phase-space matching between bent Laue and flat Bragg crystals	Journal of Synchrotron Radiation	26	1917-1923	2019				10.1107/s1600577519010774		WOS:000496973400008
Journal article	OA	ESRF18AB7038	France (not ESRF)/USA/Austria/Italy/Canada	Abadias G., Chason E., Keckes J., Sebastiani M., Thompson G.B., Barthel E., Doll G.L., Murray C.E., Stoessel C.H., Martinu L.	Review article: Stress in thin films and coatings: Current status, challenges, and prospects	Journal of Vacuum Science and Technology A	36	020801-1-020801-48	2018		ESRF (Grenoble)		10.1116/1.5011790		WOS:000426978500017
Journal article		ESRF18AK7129	USA/The Netherlands	Akselrod M., Kouwenberg J.	Fluorescent nuclear track detectors – Review of past, present and future of the technology	Radiation Measurements	117	35-51	2018				10.1016/j.radmeas.2018.07.005		WOS:000445983600005
Journal article		ESRF18AL7162	Syria/USA/France (not ESRF)	Al Khoury W., Tamura N., Geandier G., Goudeau P.	New structural insight into interface-controlled α–σ phase transformation in Fe-Cr alloys	Quantum Beam Science	2	27-1-27-8	2018		ESRF (Grenoble)		10.3390/qubs2040027		
Journal article		ESRF18AN7043	Denmark/Australia	Andersen H.L., Bøjesen E.D., Birgisson S., Christensen M., Iversen B.B.	Pitfalls and reproducibility of in situ synchrotron powder X-ray diffraction studies of solvothermal nanoparticle formation	Journal of Applied Crystallography	51	526-540	2018				10.1107/S1600576718003552		
Journal article		ESRF18AN7028	USA	Andreev K., Martynowycz M.W., Huang M.L., Kuzmenko I., Bu W., Kirshenbaum K., Gidalevitz D.	Hydrophobic interactions modulate antimicrobial peptoid selectivity towards anionic lipid membranes	Biochimica et Biophysica Acta (BBA) - Biomembranes	1860	1414-1423	2018				10.1016/j.bbamem.2018.03.021		
Journal article		ESRF18AS7012	Japan	Asakura H., Hosokawa S., Ina T., Kato K., Nitta K., Uera K., Uruga T., Miura H., Shishido T., Ohyama J., Satsuma A., Sato K., Yamamoto A., Hinokuma S., Yoshida H., Machida M., Yamazoe S., Tsukuda T., Teramura K., Tanaka T.	Dynamic behavior of Rh species in Rh/Al2O3 model catalyst during three-way catalytic reaction: An operando X-ray absorption spectroscopy study	Journal of the American Chemical Society	140	176-184	2018		SPring-8 (Nishi Harima, Japan)		10.1021/jacs.7b07114		
Journal article	OA	ESRF18AS7172	Japan	Asakura K., Abe H., Kimura M.	The challenge of constructing an international XAFS database	Journal of Synchrotron Radiation	25	967-971	2018				10.1107/S1600577518006963		
Journal article		ESRF18AS7149	Canada/China/Denmark/France (not ESRF)/USA/UK	Ashkar R., Bilheux H.Z., Bordallo H., Briber R., Callaway D.J.E., Cheng X., Chu X.Q., Curtis J.E., Dadmun M., Fenimore P., Fushman D., Gabel F., Gupta K., Herberle F., Heinrich F., Hong L., Katsaras J., Kelman Z., Kharlampieva E., Kneller G.R., Kovalevsky A., Krueger S., Langan P., Lieberman R., Liu Y., Losche M., Lyman E., Mao Y., Marino J., Mattos C., Meilleur F., Moody P., Nickels J.D., O'Dell W.B., O'Neill H., Perez-Salas U., Peters J., Petridis L., Sokolov A.P., Stanley C., Wagner N., Weinrich M., Weiss K., Wymore T., Zhang Y., Smith J.C.	Neutron scattering in the biological sciences: Progress and prospects	Acta Crystallographica D	74	1129-1168	2018				10.1107/S2059798318017503		
Journal article		ESRF18BA7107	Germany/USA	Bahrdt J., Gluskin E.	Cryogenic permanent magnet and superconducting undulators	Nuclear Instruments and Methods in Physics Research A	907	149-168	2018				10.1016/j.nima.2018.03.069		
Journal article		ESRF18BA7005	Switzerland	Ballabriga R., Campbell M., Llopart X.	Asic developments for radiation imaging applications: The medipix and timepix family	Nuclear Instruments and Methods in Physics Research A	878	10-23	2018				10.1016/j.nima.2017.07.029		
Journal article	OA	ESRF18BA7071	UK	Bartolini R., Abraham C., Apollonio M., Bailey C.P., Cox M.P., Day A., Fielder R.T., Hammond N.P., Heron M.T., Holdsworth R., Kay J., Martin I.P.S., Mhaskar S., Miller A., Pulampong T., Rehm G., Rial E.C.M., Rose A., Shahveh A., Singh B., Thomson A., Walker R.P.	Double-double bend achromat cell upgrade at the Diamond Light Source: From design to commissioning	Physical Review Accelerators and Beams	21	050701-1-050701-12	2018		DIAMOND (Didcot)		10.1103/PhysRevAccelBeams.21.050701		
Journal article		ESRF18BA7125	Canada	Bassey B., Samadi N., Panahifar A., Cooper D.M.L., Chapman D.	Crossover artifact in X-ray focusing imaging systems: K-edge subtraction imaging	Nuclear Instruments and Methods in Physics Research A	910	26-34	2018		CLS (Saskatoon)		10.1016/j.nima.2018.08.072		
Journal article		ESRF18BA7137	Australia/France (not ESRF)/Germany/Japan/Korea/Spain/UK/USA/Russia/Switzerland/Italy	Battesti R., Béard J., Böser S., Bruyant N., Budker D., Crooker S.A., Daw E.J., Flambaum V.V., Inada T., Irastorza I.G., Karbstein F., Kim D.L., Kozlov M.G., Melhem Z., Phipps A., Pugnat P., Rikken G., Rizzo C., Schott M., Semertzidis Y.K., ten Kate H.H.J., Zavattini G.	High magnetic fields for fundamental physics	Physics Reports	765-766	1-39	2018				10.1016/j.physrep.2018.07.005		
Journal article		ESRF18BE7142	France (not ESRF)	Becam G., Chevalier T.	Neandertal features of the deciduous and permanent teeth from Portel-Ouest Cave (Ariège, France)	American Journal of Physical Anthropology	168	45-69	2018				10.1002/ajpa.23719		
Journal article		ESRF18BE7072	France (not ESRF)	Beccia M.R., Solari P.L., Monfort M., Moulin C., Den Auwer C.	Focus on speciation assessment in marine radiochemistry using X-ray absorption spectroscopy	New Journal of Chemistry	42	7582-7591	2018				10.1039/C7NJ04862A		
Book chapter		ESRF18BE7064	USA	Bera M.K., Bu W., Uysal A.	Liquid surface X-ray scattering								10.1016/B978-0-12-813641-6.00007-8		
Journal article		ESRF19BE7029	Italy	Bernardini F., Tuniz C., Zanini F.	X-ray computed microtomography for paleoanthropology, archaeology, and cultural heritage								10.1016/B978-0-12-813910-3.00002-1		
Journal article	OA	ESRF18BL7099	USA	Blednykh A., Bacha B., Bassi G., Cheng W., Chubar O., Derbenev A., Lindberg R., Rakitin M., Smaluk V., Zhernenkov M., Chen-Wiegart Y.C.K., Wiegart L.	New aspects of longitudinal instabilities in electron storage rings	Scientific Reports	8	11918-1-11918-8	2018		ESRF (Grenoble)		10.1038/s41598-018-30306-y		
Journal article		ESRF18BO7063	Sweden	Bokhove M., Jovine L.	Structure of zona pellucida module proteins	Current Topics in Developmental Biology	130	413-442	2018				10.1016/bs.ctdb.2018.02.007		
Journal article		ESRF18BO7180	France (not ESRF)	Bordet P.	Application of the pair distribution function analysis for the study of cultural heritage materials	Comptes Rendus Physique	19	561-574	2018				10.1016/j.crhy.2018.06.001		WOS:000451631400005
Journal article		ESRF18BR7024		Bradley D.	Learning from sea creatures how to make cool glassy structures	Materials Today	21	104	2018				10.1016/j.mattod.2018.01.025		
Journal article	OA	ESRF18BU7086	USA/Sweden	Burakovsky L., Burakovsky N., Preston D., Simak S.	Systematics of the third row transition metal melting: The HCP metals rhenium and osmium	Crystals	8	243-1-243-22	2018		ESRF (Grenoble)		10.3390/cryst8060243		
Journal article		ESRF18BU7183	USA	Burghardt A.J., Krug R., Majumdar S.	 High-resolution imaging techniques for bone quality assessment								10.1016/B978-0-12-809965-0.00055-0		
